date,rating
26-ago-1973,1498
30-ago-1973,1482
2-set-1973,1497
5-set-1973,1504
9-set-1973,1491
16-set-1973,1472
23-set-1973,1488
26-set-1973,1474
27-set-1973,1475
3-out-1973,1491
6-out-1973,1491
10-out-1973,1495
13-out-1973,1467
17-out-1973,1481
21-out-1973,1469
24-out-1973,1436
27-out-1973,1465
31-out-1973,1481
4-nov-1973,1495
11-nov-1973,1483
14-nov-1973,1473
17-nov-1973,1474
25-nov-1973,1507
29-nov-1973,1511
2-dez-1973,1516
8-dez-1973,1521
13-dez-1973,1509
16-dez-1973,1498
10-mar-1974,1518
13-mar-1974,1503
16-mar-1974,1504
20-mar-1974,1485
23-mar-1974,1500
30-mar-1974,1522
6-abr-1974,1517
13-abr-1974,1500
21-abr-1974,1489
27-abr-1974,1472
4-mai-1974,1488
11-mai-1974,1509
15-mai-1974,1533
18-mai-1974,1550
22-mai-1974,1560
25-mai-1974,1555
2-jun-1974,1565
9-jun-1974,1565
13-jun-1974,1551
30-jun-1974,1553
3-jul-1974,1552
6-jul-1974,1562
13-jul-1974,1566
17-jul-1974,1580
20-ago-1975,1592
24-ago-1975,1576
27-ago-1975,1547
31-ago-1975,1546
3-set-1975,1558
10-set-1975,1560
13-set-1975,1530
17-set-1975,1517
24-set-1975,1505
28-set-1975,1529
26-out-1975,1500
30-out-1975,1512
5-nov-1975,1534
9-nov-1975,1532
29-ago-1976,1555
1-set-1976,1553
8-set-1976,1536
12-set-1976,1544
15-set-1976,1571
19-set-1976,1569
22-set-1976,1583
29-set-1976,1566
10-out-1976,1553
13-out-1976,1541
17-out-1976,1520
20-out-1976,1520
24-out-1976,1541
16-out-1977,1524
19-out-1977,1504
23-out-1977,1503
26-out-1977,1504
2-nov-1977,1486
6-nov-1977,1507
20-nov-1977,1527
24-nov-1977,1501
27-nov-1977,1506
1-dez-1977,1506
7-dez-1977,1484
11-dez-1977,1498
18-dez-1977,1493
30-mar-1978,1471
2-abr-1978,1468
6-abr-1978,1488
9-abr-1978,1504
12-abr-1978,1510
16-abr-1978,1502
19-abr-1978,1483
23-abr-1978,1470
26-abr-1978,1452
30-abr-1978,1482
3-mai-1978,1479
11-mai-1978,1460
21-mai-1978,1449
27-mai-1978,1435
31-mai-1978,1410
4-jun-1978,1399
18-jun-1978,1403
24-jun-1978,1405
23-set-1979,1417
26-set-1979,1407
3-out-1979,1405
6-out-1979,1413
13-out-1979,1409
18-out-1979,1417
25-out-1979,1443
31-out-1979,1480
4-nov-1979,1464
8-nov-1979,1486
11-nov-1979,1486
14-nov-1979,1502
18-nov-1979,1488
22-nov-1979,1499
25-nov-1979,1512
29-nov-1979,1527
2-dez-1979,1537
6-dez-1979,1529
8-dez-1979,1512
28-fev-1982,1502
7-mar-1982,1488
11-mar-1982,1497
14-mar-1982,1474
17-mar-1982,1483
25-mar-1982,1478
23-jan-1983,1472
27-jan-1983,1508
2-fev-1983,1508
6-fev-1983,1533
10-fev-1983,1518
23-fev-1983,1492
27-fev-1983,1515
6-mar-1983,1515
13-mar-1983,1500
16-mar-1983,1504
19-mar-1983,1516
26-mar-1983,1520
30-mar-1983,1535
3-abr-1983,1565
10-abr-1983,1552
13-abr-1983,1570
17-abr-1983,1559
20-abr-1983,1560
26-abr-1983,1578
30-abr-1983,1586
29-jan-1984,1593
1-fev-1984,1579
8-fev-1984,1591
12-fev-1984,1586
19-fev-1984,1572
23-fev-1984,1584
26-fev-1984,1582
29-fev-1984,1578
11-mar-1984,1597
14-mar-1984,1611
18-mar-1984,1600
21-mar-1984,1599
25-mar-1984,1619
1-abr-1984,1595
7-abr-1984,1599
11-abr-1984,1602
15-abr-1984,1608
19-abr-1984,1624
22-abr-1984,1606
25-abr-1984,1590
31-ago-1986,1569
2-set-1986,1560
7-set-1986,1555
11-set-1986,1560
14-set-1986,1562
18-set-1986,1599
24-set-1986,1598
27-set-1986,1616
1-out-1986,1619
5-out-1986,1640
12-out-1986,1643
16-out-1986,1644
19-out-1986,1624
22-out-1986,1620
26-out-1986,1633
2-nov-1986,1636
9-nov-1986,1637
16-nov-1986,1647
23-nov-1986,1676
27-nov-1986,1658
29-nov-1986,1644
3-dez-1986,1664
7-dez-1986,1657
10-dez-1986,1653
14-dez-1986,1665
28-jan-1987,1650
13-set-1987,1642
16-set-1987,1640
19-set-1987,1652
23-set-1987,1637
27-set-1987,1633
11-out-1987,1646
14-out-1987,1663
21-out-1987,1692
25-out-1987,1702
28-out-1987,1685
1-nov-1987,1682
4-nov-1987,1697
7-nov-1987,1690
22-nov-1987,1694
25-nov-1987,1691
29-nov-1987,1694
2-dez-1987,1681
4-set-1988,1662
7-set-1988,1659
11-set-1988,1663
18-set-1988,1650
25-set-1988,1663
2-out-1988,1661
8-out-1988,1666
16-out-1988,1644
19-out-1988,1642
23-out-1988,1632
6-nov-1988,1652
9-nov-1988,1673
12-nov-1988,1702
17-nov-1988,1702
20-nov-1988,1700
24-nov-1988,1711
27-nov-1988,1691
1-dez-1988,1693
4-dez-1988,1680
8-dez-1988,1684
11-dez-1988,1681
15-dez-1988,1684
18-dez-1988,1672
7-set-1989,1675
10-set-1989,1680
16-set-1989,1653
20-set-1989,1668
24-set-1989,1672
1-out-1989,1688
4-out-1989,1669
8-out-1989,1667
14-out-1989,1671
18-out-1989,1658
29-out-1989,1678
5-nov-1989,1678
19-nov-1989,1678
22-nov-1989,1677
26-nov-1989,1673
3-dez-1989,1670
10-dez-1989,1669
14-dez-1989,1695
3-fev-1991,1725
7-fev-1991,1751
17-fev-1991,1767
24-fev-1991,1739
3-mar-1991,1726
7-mar-1991,1702
9-mar-1991,1704
18-mar-1991,1704
24-mar-1991,1705
31-mar-1991,1704
3-abr-1991,1725
7-abr-1991,1707
14-abr-1991,1691
21-abr-1991,1660
28-abr-1991,1661
2-mai-1991,1649
5-mai-1991,1668
9-mai-1991,1645
19-mai-1991,1635
26-jan-1992,1616
2-fev-1992,1617
10-fev-1992,1602
15-fev-1992,1584
20-fev-1992,1563
23-fev-1992,1583
8-mar-1992,1612
11-mar-1992,1619
14-mar-1992,1636
23-mar-1992,1615
30-mar-1992,1635
5-abr-1992,1615
13-abr-1992,1620
20-abr-1992,1619
27-abr-1992,1620
2-mai-1992,1624
10-mai-1992,1632
24-mai-1992,1620
31-mai-1992,1610
4-set-1993,1575
12-set-1993,1572
16-set-1993,1569
18-set-1993,1562
22-set-1993,1542
26-set-1993,1524
29-set-1993,1495
6-out-1993,1514
10-out-1993,1542
13-out-1993,1570
16-out-1993,1563
20-out-1993,1565
24-out-1993,1565
27-out-1993,1548
11-ago-1996,1532
18-ago-1996,1565
21-ago-1996,1542
27-ago-1996,1532
29-ago-1996,1539
1-set-1996,1527
4-set-1996,1559
8-set-1996,1578
15-set-1996,1564
22-set-1996,1578
29-set-1996,1605
2-out-1996,1627
5-out-1996,1651
9-out-1996,1654
12-out-1996,1689
20-out-1996,1712
26-out-1996,1739
3-nov-1996,1758
6-nov-1996,1756
10-nov-1996,1763
17-nov-1996,1745
21-nov-1996,1730
24-nov-1996,1710
6-jul-1997,1718
9-jul-1997,1696
13-jul-1997,1720
16-jul-1997,1690
19-jul-1997,1701
27-jul-1997,1701
3-ago-1997,1680
9-ago-1997,1655
16-ago-1997,1670
19-ago-1997,1684
23-ago-1997,1684
31-ago-1997,1665
3-set-1997,1662
14-set-1997,1685
17-set-1997,1660
21-set-1997,1628
28-set-1997,1629
2-out-1997,1661
5-out-1997,1648
12-out-1997,1624
19-out-1997,1628
22-out-1997,1614
26-out-1997,1639
1-nov-1997,1660
8-nov-1997,1657
26-jul-1998,1655
29-jul-1998,1658
2-ago-1998,1637
5-ago-1998,1630
9-ago-1998,1629
19-ago-1998,1603
22-ago-1998,1606
26-ago-1998,1608
30-ago-1998,1612
6-set-1998,1595
9-set-1998,1609
13-set-1998,1597
24-set-1998,1631
