date,rating
29-ago-1976,1514
1-set-1976,1514
7-set-1976,1532
12-set-1976,1527
19-set-1976,1538
22-set-1976,1521
29-set-1976,1515
30-set-1976,1503
10-out-1976,1517
17-out-1976,1497
20-out-1976,1509
24-out-1976,1504
16-out-1977,1519
19-out-1977,1503
23-out-1977,1507
30-out-1977,1487
6-nov-1977,1482
12-nov-1977,1454
17-nov-1977,1445
20-nov-1977,1427
23-nov-1977,1414
7-dez-1977,1395
11-dez-1977,1378
14-dez-1977,1353
18-dez-1977,1384
26-mar-1978,1368
29-mar-1978,1350
2-abr-1978,1354
6-abr-1978,1350
16-abr-1978,1359
20-abr-1978,1354
23-abr-1978,1370
26-abr-1978,1357
1-mai-1978,1391
4-mai-1978,1419
7-mai-1978,1414
9-mai-1978,1380
21-mai-1978,1405
4-jun-1978,1405
8-jun-1978,1424
13-jun-1978,1440
17-jun-1978,1454
22-jun-1978,1455
2-jul-1978,1446
5-jul-1978,1465
9-jul-1978,1486
13-jul-1978,1478
16-jul-1978,1470
19-jul-1978,1463
23-jul-1978,1468
25-set-1979,1470
30-set-1979,1490
6-out-1979,1468
10-out-1979,1486
17-out-1979,1457
20-out-1979,1425
24-out-1979,1453
28-out-1979,1462
4-nov-1979,1487
8-nov-1979,1470
11-nov-1979,1458
15-nov-1979,1482
18-nov-1979,1475
21-nov-1979,1491
25-nov-1979,1475
28-nov-1979,1475
24-fev-1980,1460
27-fev-1980,1473
1-mar-1980,1488
6-mar-1980,1512
13-mar-1980,1538
16-mar-1980,1517
23-mar-1980,1500
27-mar-1980,1519
30-mar-1980,1518
5-abr-1980,1504
13-abr-1980,1491
17-abr-1980,1498
20-abr-1980,1507
27-abr-1980,1509
3-mai-1980,1492
27-jan-1985,1499
30-jan-1985,1507
3-fev-1985,1507
7-fev-1985,1503
10-fev-1985,1510
13-fev-1985,1518
24-fev-1985,1520
27-fev-1985,1519
3-mar-1985,1482
6-mar-1985,1502
10-mar-1985,1497
17-mar-1985,1505
20-mar-1985,1499
24-mar-1985,1511
27-mar-1985,1506
31-mar-1985,1529
3-abr-1985,1521
7-abr-1985,1509
10-abr-1985,1481
14-abr-1985,1478
17-abr-1985,1462
21-abr-1985,1448
31-ago-1986,1437
2-set-1986,1427
7-set-1986,1432
14-set-1986,1454
18-set-1986,1445
22-set-1986,1423
24-set-1986,1418
27-set-1986,1412
1-out-1986,1435
8-out-1986,1457
