date,rating
2-set-1990,1494
5-set-1990,1518
9-set-1990,1539
16-set-1990,1561
19-set-1990,1547
23-set-1990,1564
26-set-1990,1568
30-set-1990,1571
4-out-1990,1561
7-out-1990,1603
10-out-1990,1609
14-out-1990,1611
20-out-1990,1619
24-out-1990,1619
28-out-1990,1622
4-nov-1990,1626
10-nov-1990,1604
14-nov-1990,1626
18-nov-1990,1644
3-fev-1991,1648
6-fev-1991,1674
16-fev-1991,1676
23-fev-1991,1677
3-mar-1991,1678
6-mar-1991,1705
11-mar-1991,1733
17-mar-1991,1731
24-mar-1991,1709
31-mar-1991,1698
4-abr-1991,1698
7-abr-1991,1708
14-abr-1991,1725
21-abr-1991,1741
28-abr-1991,1737
1-mai-1991,1739
5-mai-1991,1763
12-mai-1991,1775
19-mai-1991,1785
27-jan-1992,1796
2-fev-1992,1797
9-fev-1992,1788
16-fev-1992,1752
19-fev-1992,1765
23-fev-1992,1775
7-mar-1992,1787
11-mar-1992,1780
14-mar-1992,1792
22-mar-1992,1804
29-mar-1992,1809
5-abr-1992,1775
13-abr-1992,1792
19-abr-1992,1772
25-abr-1992,1774
4-mai-1992,1773
10-mai-1992,1742
24-mai-1992,1768
31-mai-1992,1762
7-jun-1992,1776
13-jun-1992,1757
21-jun-1992,1758
27-jun-1992,1773
5-jul-1992,1772
9-jul-1992,1782
6-set-1993,1782
12-set-1993,1782
20-set-1993,1778
25-set-1993,1777
3-out-1993,1755
6-out-1993,1764
10-out-1993,1765
12-out-1993,1762
16-out-1993,1794
23-out-1993,1793
28-out-1993,1787
31-out-1993,1766
7-nov-1993,1755
14-nov-1993,1747
14-ago-1994,1745
17-ago-1994,1729
21-ago-1994,1709
24-ago-1994,1699
28-ago-1994,1693
31-ago-1994,1672
7-set-1994,1683
11-set-1994,1664
18-set-1994,1652
25-set-1994,1639
6-out-1994,1656
9-out-1994,1666
16-out-1994,1663
19-out-1994,1684
23-out-1994,1665
26-out-1994,1632
30-out-1994,1646
2-nov-1994,1667
6-nov-1994,1664
10-nov-1994,1676
13-nov-1994,1675
16-nov-1994,1670
20-nov-1994,1679
27-nov-1994,1675
23-ago-1995,1662
27-ago-1995,1648
30-ago-1995,1668
3-set-1995,1680
6-set-1995,1694
10-set-1995,1686
17-set-1995,1690
20-set-1995,1689
24-set-1995,1707
1-out-1995,1718
8-out-1995,1732
12-out-1995,1734
14-out-1995,1758
22-out-1995,1752
29-out-1995,1747
1-nov-1995,1718
9-nov-1995,1733
12-nov-1995,1751
19-nov-1995,1719
22-nov-1995,1731
26-nov-1995,1729
30-nov-1995,1705
2-dez-1995,1713
11-ago-1996,1696
18-ago-1996,1663
21-ago-1996,1635
24-ago-1996,1618
1-set-1996,1602
4-set-1996,1588
8-set-1996,1588
14-set-1996,1578
18-set-1996,1583
22-set-1996,1568
29-set-1996,1553
5-out-1996,1568
9-out-1996,1564
13-out-1996,1586
20-out-1996,1569
25-out-1996,1601
26-out-1996,1628
3-nov-1996,1632
6-nov-1996,1637
10-nov-1996,1608
16-nov-1996,1597
20-nov-1996,1578
24-nov-1996,1599
6-jul-1997,1621
10-jul-1997,1625
13-jul-1997,1643
16-jul-1997,1621
20-jul-1997,1634
27-jul-1997,1624
3-ago-1997,1610
10-ago-1997,1629
17-ago-1997,1604
20-ago-1997,1610
24-ago-1997,1590
31-ago-1997,1609
6-set-1997,1598
13-set-1997,1621
17-set-1997,1598
20-set-1997,1600
28-set-1997,1604
1-out-1997,1583
12-out-1997,1587
15-out-1997,1568
19-out-1997,1553
26-out-1997,1541
2-nov-1997,1551
5-nov-1997,1540
8-nov-1997,1527
26-jul-1998,1515
2-ago-1998,1525
9-ago-1998,1548
16-ago-1998,1535
19-ago-1998,1538
23-ago-1998,1570
26-ago-1998,1575
30-ago-1998,1572
2-set-1998,1564
5-set-1998,1586
9-set-1998,1574
13-set-1998,1547
16-set-1998,1538
24-set-1998,1529
27-set-1998,1519
7-out-1998,1539
14-out-1998,1528
18-out-1998,1504
21-out-1998,1487
24-out-1998,1492
28-out-1998,1513
1-nov-1998,1503
12-nov-1998,1508
