date,rating
30-set-1979,1509
3-out-1979,1518
6-out-1979,1544
13-out-1979,1536
17-out-1979,1545
21-out-1979,1511
24-out-1979,1483
31-out-1979,1500
4-nov-1979,1493
8-nov-1979,1498
11-nov-1979,1535
15-nov-1979,1515
18-nov-1979,1527
21-nov-1979,1527
25-nov-1979,1509
28-nov-1979,1494
23-jan-1983,1487
30-jan-1983,1511
2-fev-1983,1511
5-fev-1983,1498
19-fev-1983,1512
23-fev-1983,1520
27-fev-1983,1507
6-mar-1983,1507
13-mar-1983,1511
16-mar-1983,1503
22-mar-1983,1511
26-mar-1983,1535
30-mar-1983,1515
3-abr-1983,1505
