date,rating
1-set-1976,1489
4-set-1976,1479
12-set-1976,1504
15-set-1976,1510
22-set-1976,1519
26-set-1976,1500
29-set-1976,1514
2-out-1976,1531
10-out-1976,1526
13-out-1976,1518
21-out-1976,1513
24-out-1976,1534
4-nov-1976,1524
7-nov-1976,1510
10-nov-1976,1505
14-nov-1976,1489
17-nov-1976,1527
20-nov-1976,1542
24-nov-1976,1548
28-nov-1976,1565
19-out-1977,1566
23-out-1977,1574
27-out-1977,1572
30-out-1977,1567
3-nov-1977,1551
6-nov-1977,1548
9-nov-1977,1535
13-nov-1977,1530
23-nov-1977,1532
4-dez-1977,1554
11-dez-1977,1553
14-dez-1977,1547
17-dez-1977,1561
29-jan-1978,1533
1-fev-1978,1526
11-fev-1978,1533
15-fev-1978,1514
18-fev-1978,1517
26-mar-1978,1523
29-mar-1978,1524
2-abr-1978,1537
6-abr-1978,1538
16-abr-1978,1549
19-abr-1978,1569
23-abr-1978,1566
26-abr-1978,1545
30-abr-1978,1582
7-mai-1978,1575
11-mai-1978,1590
14-mai-1978,1567
28-mai-1978,1577
30-mai-1978,1562
4-jun-1978,1539
8-jun-1978,1564
10-jun-1978,1564
17-jun-1978,1570
20-jun-1978,1559
24-jun-1978,1592
2-jul-1978,1611
5-jul-1978,1601
8-jul-1978,1605
13-jul-1978,1625
15-jul-1978,1638
19-jul-1978,1645
23-jul-1978,1647
23-set-1979,1626
28-set-1979,1623
3-out-1979,1638
7-out-1979,1634
10-out-1979,1625
17-out-1979,1632
21-out-1979,1612
24-out-1979,1625
4-nov-1979,1604
