date,rating
7-ago-1971,1500
11-ago-1971,1486
15-ago-1971,1486
22-ago-1971,1501
29-ago-1971,1474
1-set-1971,1450
5-set-1971,1435
8-set-1971,1438
11-set-1971,1440
19-set-1971,1424
25-set-1971,1413
3-out-1971,1401
10-out-1971,1406
17-out-1971,1427
20-out-1971,1406
24-out-1971,1396
31-out-1971,1385
7-nov-1971,1365
14-nov-1971,1351
10-set-1972,1383
13-set-1972,1416
17-set-1972,1422
20-set-1972,1425
24-set-1972,1431
27-set-1972,1416
1-out-1972,1399
4-out-1972,1404
8-out-1972,1428
11-out-1972,1433
15-out-1972,1451
18-out-1972,1454
22-out-1972,1469
25-out-1972,1437
29-out-1972,1441
1-nov-1972,1459
5-nov-1972,1465
8-nov-1972,1495
12-nov-1972,1490
16-nov-1972,1491
19-nov-1972,1479
22-nov-1972,1481
26-nov-1972,1479
29-nov-1972,1466
3-dez-1972,1487
9-dez-1972,1488
14-dez-1972,1477
17-dez-1972,1480
26-ago-1973,1480
29-ago-1973,1478
2-set-1973,1463
5-set-1973,1444
8-set-1973,1449
13-set-1973,1440
16-set-1973,1457
23-set-1973,1486
26-set-1973,1485
30-set-1973,1485
4-out-1973,1485
7-out-1973,1470
14-out-1973,1476
17-out-1973,1469
21-out-1973,1485
24-out-1973,1498
27-out-1973,1477
1-nov-1973,1483
4-nov-1973,1483
11-nov-1973,1485
14-nov-1973,1487
18-nov-1973,1503
25-nov-1973,1518
28-nov-1973,1531
2-dez-1973,1507
8-dez-1973,1521
12-dez-1973,1533
16-dez-1973,1532
13-jan-1974,1508
16-jan-1974,1488
19-jan-1974,1475
23-jan-1974,1458
27-jan-1974,1466
30-jan-1974,1456
3-fev-1974,1444
6-fev-1974,1430
10-fev-1974,1416
9-mar-1974,1417
17-mar-1974,1418
20-mar-1974,1408
23-mar-1974,1411
27-mar-1974,1401
30-mar-1974,1394
3-abr-1974,1387
10-abr-1974,1404
20-abr-1974,1423
27-abr-1974,1415
4-mai-1974,1403
11-mai-1974,1424
15-mai-1974,1408
18-mai-1974,1430
25-mai-1974,1440
2-jun-1974,1443
5-jun-1974,1451
9-jun-1974,1459
12-jun-1974,1460
24-ago-1975,1477
27-ago-1975,1456
31-ago-1975,1436
3-set-1975,1423
6-set-1975,1416
10-set-1975,1445
14-set-1975,1446
21-set-1975,1464
24-set-1975,1455
28-set-1975,1459
26-out-1975,1476
30-out-1975,1475
2-nov-1975,1457
5-nov-1975,1435
29-ago-1976,1420
1-set-1976,1420
4-set-1976,1428
7-set-1976,1418
19-set-1976,1399
22-set-1976,1390
25-set-1976,1376
30-set-1976,1378
10-out-1976,1380
17-out-1976,1401
20-out-1976,1387
23-out-1976,1388
16-out-1977,1372
19-out-1977,1374
23-out-1977,1392
26-out-1977,1379
6-nov-1977,1410
9-nov-1977,1397
13-nov-1977,1423
20-nov-1977,1441
24-nov-1977,1427
27-nov-1977,1417
30-nov-1977,1396
8-dez-1977,1394
11-dez-1977,1411
15-dez-1977,1442
18-dez-1977,1439
26-mar-1978,1447
6-abr-1978,1474
9-abr-1978,1483
12-abr-1978,1470
15-abr-1978,1457
20-abr-1978,1478
23-abr-1978,1475
26-abr-1978,1476
30-abr-1978,1500
4-mai-1978,1515
14-mai-1978,1509
24-mai-1978,1512
31-mai-1978,1552
4-jun-1978,1537
7-jun-1978,1521
10-jun-1978,1511
13-jun-1978,1500
17-jun-1978,1520
24-jun-1978,1511
3-out-1979,1539
6-out-1979,1558
10-out-1979,1589
14-out-1979,1573
17-out-1979,1543
20-out-1979,1525
24-out-1979,1494
27-out-1979,1486
4-nov-1979,1495
7-nov-1979,1511
10-nov-1979,1503
14-nov-1979,1500
18-nov-1979,1500
21-nov-1979,1484
25-nov-1979,1514
28-nov-1979,1505
24-fev-1980,1513
27-fev-1980,1508
2-mar-1980,1509
5-mar-1980,1544
9-mar-1980,1543
16-mar-1980,1532
19-mar-1980,1517
23-mar-1980,1541
30-mar-1980,1529
6-abr-1980,1542
13-abr-1980,1530
17-abr-1980,1521
21-abr-1980,1519
27-abr-1980,1527
3-mai-1980,1514
17-jan-1982,1524
20-jan-1982,1537
28-jan-1982,1543
31-jan-1982,1548
7-fev-1982,1528
10-fev-1982,1519
14-fev-1982,1529
17-fev-1982,1536
28-fev-1982,1528
7-mar-1982,1542
11-mar-1982,1531
14-mar-1982,1554
17-mar-1982,1547
25-mar-1982,1569
27-jan-1985,1594
30-jan-1985,1586
3-fev-1985,1562
6-fev-1985,1572
10-fev-1985,1565
13-fev-1985,1561
24-fev-1985,1560
28-fev-1985,1550
3-mar-1985,1562
6-mar-1985,1569
10-mar-1985,1559
16-mar-1985,1574
20-mar-1985,1583
24-mar-1985,1591
27-mar-1985,1605
31-mar-1985,1616
3-abr-1985,1586
7-abr-1985,1598
10-abr-1985,1587
14-abr-1985,1592
21-abr-1985,1599
4-jul-1985,1605
7-jul-1985,1604
10-jul-1985,1583
14-jul-1985,1556
17-jul-1985,1576
21-jul-1985,1582
31-ago-1986,1574
2-set-1986,1581
7-set-1986,1563
10-set-1986,1583
14-set-1986,1564
17-set-1986,1570
24-set-1986,1571
27-set-1986,1578
1-out-1986,1564
5-out-1986,1587
12-out-1986,1574
15-out-1986,1564
19-out-1986,1584
22-out-1986,1564
29-out-1986,1546
2-nov-1986,1522
9-nov-1986,1542
12-nov-1986,1548
23-nov-1986,1547
26-nov-1986,1563
29-nov-1986,1571
7-dez-1986,1592
10-dez-1986,1626
14-dez-1986,1597
25-jan-1987,1601
28-jan-1987,1583
13-set-1987,1598
16-set-1987,1584
20-set-1987,1567
27-set-1987,1566
1-out-1987,1583
4-out-1987,1587
11-out-1987,1574
18-out-1987,1566
21-out-1987,1549
25-out-1987,1540
28-out-1987,1514
8-nov-1987,1530
14-nov-1987,1517
20-nov-1987,1538
7-set-1993,1553
12-set-1993,1579
15-set-1993,1553
18-set-1993,1537
22-set-1993,1553
26-set-1993,1522
29-set-1993,1546
6-out-1993,1554
10-out-1993,1553
14-out-1993,1537
16-out-1993,1509
20-out-1993,1497
24-out-1993,1513
27-out-1993,1498
9-mai-2010,1520
16-mai-2010,1526
23-mai-2010,1544
27-mai-2010,1546
30-mai-2010,1569
2-jun-2010,1598
6-jun-2010,1611
14-jul-2010,1615
18-jul-2010,1605
22-jul-2010,1606
25-jul-2010,1608
31-jul-2010,1597
8-ago-2010,1593
14-ago-2010,1584
21-ago-2010,1603
25-ago-2010,1593
28-ago-2010,1592
1-set-2010,1578
4-set-2010,1560
8-set-2010,1550
12-set-2010,1570
15-set-2010,1571
19-set-2010,1571
22-set-2010,1561
26-set-2010,1531
29-set-2010,1530
2-out-2010,1538
6-out-2010,1561
10-out-2010,1585
17-out-2010,1590
24-out-2010,1619
28-out-2010,1619
3-nov-2010,1622
6-nov-2010,1604
10-nov-2010,1609
20-nov-2010,1605
28-nov-2010,1609
5-dez-2010,1586
21-mai-2011,1567
28-mai-2011,1587
4-jun-2011,1591
12-jun-2011,1565
19-jun-2011,1555
26-jun-2011,1585
30-jun-2011,1563
6-jul-2011,1593
10-jul-2011,1594
17-jul-2011,1615
23-jul-2011,1620
28-jul-2011,1633
31-jul-2011,1610
3-ago-2011,1579
7-ago-2011,1566
14-ago-2011,1575
17-ago-2011,1611
20-ago-2011,1600
28-ago-2011,1626
31-ago-2011,1609
4-set-2011,1612
7-set-2011,1595
11-set-2011,1598
17-set-2011,1580
22-set-2011,1568
25-set-2011,1588
2-out-2011,1588
9-out-2011,1591
12-out-2011,1561
15-out-2011,1551
23-out-2011,1538
29-out-2011,1530
6-nov-2011,1546
13-nov-2011,1538
16-nov-2011,1531
19-nov-2011,1561
27-nov-2011,1563
4-dez-2011,1549
