date,rating
30-mar-1978,1522
2-abr-1978,1500
6-abr-1978,1484
9-abr-1978,1465
12-abr-1978,1459
16-abr-1978,1435
19-abr-1978,1423
26-abr-1978,1444
3-mai-1978,1449
7-mai-1978,1471
10-mai-1978,1460
14-mai-1978,1472
24-mai-1978,1474
31-mai-1978,1475
13-jun-1978,1487
18-jun-1978,1484
20-jun-1978,1479
24-jun-1978,1464
29-set-1979,1461
3-out-1979,1462
10-out-1979,1448
14-out-1979,1428
17-out-1979,1419
21-out-1979,1405
24-out-1979,1392
28-out-1979,1381
4-nov-1979,1384
19-abr-2014,1393
27-abr-2014,1386
4-mai-2014,1382
11-mai-2014,1378
18-mai-2014,1389
21-mai-2014,1381
25-mai-2014,1416
28-mai-2014,1407
1-jun-2014,1430
19-jul-2014,1456
26-jul-2014,1447
3-ago-2014,1468
6-ago-2014,1477
10-ago-2014,1464
17-ago-2014,1472
20-ago-2014,1496
23-ago-2014,1487
30-ago-2014,1482
6-set-2014,1488
10-set-2014,1470
13-set-2014,1502
18-set-2014,1510
21-set-2014,1504
24-set-2014,1539
27-set-2014,1538
2-out-2014,1515
9-out-2014,1560
12-out-2014,1578
18-out-2014,1570
22-out-2014,1577
25-out-2014,1581
2-nov-2014,1561
9-nov-2014,1546
16-nov-2014,1533
20-nov-2014,1574
23-nov-2014,1594
30-nov-2014,1602
7-dez-2014,1580
9-mai-2015,1598
16-mai-2015,1589
24-mai-2015,1608
30-mai-2015,1586
3-jun-2015,1604
6-jun-2015,1590
13-jun-2015,1583
21-jun-2015,1606
27-jun-2015,1610
1-jul-2015,1587
4-jul-2015,1602
8-jul-2015,1623
12-jul-2015,1604
19-jul-2015,1591
26-jul-2015,1613
2-ago-2015,1615
9-ago-2015,1614
12-ago-2015,1613
16-ago-2015,1635
23-ago-2015,1618
30-ago-2015,1607
3-set-2015,1591
6-set-2015,1590
10-set-2015,1590
13-set-2015,1576
17-set-2015,1581
20-set-2015,1564
27-set-2015,1544
4-out-2015,1585
15-out-2015,1583
18-out-2015,1606
25-out-2015,1603
1-nov-2015,1603
7-nov-2015,1618
19-nov-2015,1636
22-nov-2015,1634
29-nov-2015,1605
6-dez-2015,1586
15-mai-2016,1592
22-mai-2016,1613
25-mai-2016,1612
28-mai-2016,1609
1-jun-2016,1625
4-jun-2016,1624
11-jun-2016,1609
15-jun-2016,1616
19-jun-2016,1628
23-jun-2016,1628
26-jun-2016,1603
29-jun-2016,1621
3-jul-2016,1604
9-jul-2016,1594
17-jul-2016,1594
24-jul-2016,1607
31-jul-2016,1611
4-ago-2016,1614
8-ago-2016,1600
15-ago-2016,1616
19-ago-2016,1626
28-ago-2016,1608
7-set-2016,1603
11-set-2016,1620
15-set-2016,1637
18-set-2016,1639
25-set-2016,1624
1-out-2016,1596
5-out-2016,1578
12-out-2016,1608
16-out-2016,1611
23-out-2016,1602
29-out-2016,1606
6-nov-2016,1619
16-nov-2016,1647
20-nov-2016,1671
27-nov-2016,1662
