date,rating
7-ago-1971,1526
11-ago-1971,1540
15-ago-1971,1539
21-ago-1971,1539
26-ago-1971,1562
29-ago-1971,1573
5-set-1971,1570
8-set-1971,1551
11-set-1971,1564
18-set-1971,1574
22-set-1971,1573
26-set-1971,1583
2-out-1971,1596
9-out-1971,1578
17-out-1971,1548
24-out-1971,1568
30-out-1971,1567
7-nov-1971,1589
14-nov-1971,1586
21-nov-1971,1568
24-nov-1971,1582
28-nov-1971,1564
1-dez-1971,1538
4-dez-1971,1539
8-dez-1971,1562
10-set-1972,1559
13-set-1972,1554
17-set-1972,1555
20-set-1972,1570
24-set-1972,1540
27-set-1972,1539
1-out-1972,1550
5-out-1972,1548
7-out-1972,1560
11-out-1972,1554
14-out-1972,1554
18-out-1972,1527
22-out-1972,1526
25-out-1972,1537
28-out-1972,1549
1-nov-1972,1567
5-nov-1972,1584
8-nov-1972,1597
12-nov-1972,1594
16-nov-1972,1570
19-nov-1972,1581
22-nov-1972,1597
26-nov-1972,1567
29-nov-1972,1585
3-dez-1972,1581
10-dez-1972,1579
14-dez-1972,1590
17-dez-1972,1586
20-dez-1972,1569
25-ago-1973,1566
29-ago-1973,1578
31-ago-1973,1551
5-set-1973,1548
9-set-1973,1567
12-set-1973,1561
16-set-1973,1545
22-set-1973,1563
27-set-1973,1570
30-set-1973,1582
3-out-1973,1593
7-out-1973,1595
13-out-1973,1605
17-out-1973,1615
21-out-1973,1634
25-out-1973,1627
27-out-1973,1625
31-out-1973,1602
4-nov-1973,1601
11-nov-1973,1584
14-nov-1973,1587
18-nov-1973,1578
24-nov-1973,1595
29-nov-1973,1591
2-dez-1973,1594
8-dez-1973,1574
12-dez-1973,1560
15-dez-1973,1563
12-jan-1974,1560
16-jan-1974,1577
20-jan-1974,1551
24-jan-1974,1550
27-jan-1974,1557
30-jan-1974,1544
3-fev-1974,1555
6-fev-1974,1575
10-fev-1974,1578
10-mar-1974,1587
13-mar-1974,1585
17-mar-1974,1592
24-mar-1974,1611
30-mar-1974,1618
6-abr-1974,1615
13-abr-1974,1598
20-abr-1974,1566
23-abr-1974,1577
27-abr-1974,1594
4-mai-1974,1593
11-mai-1974,1580
15-mai-1974,1576
18-mai-1974,1581
25-mai-1974,1575
1-jun-1974,1597
5-jun-1974,1607
9-jun-1974,1610
13-jun-1974,1580
30-jun-1974,1598
3-jul-1974,1583
6-jul-1974,1577
11-jul-1974,1574
14-jul-1974,1554
20-ago-1975,1568
24-ago-1975,1571
31-ago-1975,1587
7-set-1975,1583
14-set-1975,1607
21-set-1975,1611
24-set-1975,1621
27-set-1975,1613
2-out-1975,1594
5-out-1975,1602
9-out-1975,1599
12-out-1975,1580
15-out-1975,1577
19-out-1975,1597
23-out-1975,1584
26-out-1975,1590
29-out-1975,1606
2-nov-1975,1624
6-nov-1975,1620
9-nov-1975,1632
13-nov-1975,1642
16-nov-1975,1644
20-nov-1975,1651
23-nov-1975,1632
27-nov-1975,1614
30-nov-1975,1631
3-dez-1975,1646
29-ago-1976,1656
1-set-1976,1650
12-set-1976,1633
16-set-1976,1639
19-set-1976,1631
22-set-1976,1640
25-set-1976,1651
29-set-1976,1671
10-out-1976,1642
13-out-1976,1654
16-out-1976,1635
20-out-1976,1654
24-out-1976,1663
31-out-1976,1660
3-nov-1976,1643
7-nov-1976,1646
11-nov-1976,1658
14-nov-1976,1673
18-nov-1976,1690
21-nov-1976,1712
28-nov-1976,1723
16-out-1977,1711
19-out-1977,1704
23-out-1977,1715
30-out-1977,1694
2-nov-1977,1701
5-nov-1977,1706
10-nov-1977,1721
13-nov-1977,1695
16-nov-1977,1687
20-nov-1977,1701
4-dez-1977,1720
10-dez-1977,1732
15-dez-1977,1728
18-dez-1977,1746
