date,rating
10-set-1972,1500
13-set-1972,1477
17-set-1972,1455
20-set-1972,1456
24-set-1972,1455
27-set-1972,1442
1-out-1972,1425
4-out-1972,1412
8-out-1972,1430
11-out-1972,1435
14-out-1972,1420
18-out-1972,1424
22-out-1972,1411
25-out-1972,1397
29-out-1972,1403
1-nov-1972,1406
5-nov-1972,1397
8-nov-1972,1380
12-nov-1972,1385
16-nov-1972,1356
19-nov-1972,1362
22-nov-1972,1350
26-nov-1972,1352
29-nov-1972,1359
3-dez-1972,1342
25-ago-1973,1331
29-ago-1973,1326
2-set-1973,1317
5-set-1973,1322
9-set-1973,1314
12-set-1973,1310
15-set-1973,1333
23-set-1973,1352
26-set-1973,1360
30-set-1973,1348
3-out-1973,1324
7-out-1973,1313
14-out-1973,1321
17-out-1973,1315
21-out-1973,1307
24-out-1973,1299
27-out-1973,1320
31-out-1973,1313
4-nov-1973,1316
11-nov-1973,1299
14-nov-1973,1308
18-nov-1973,1298
25-nov-1973,1315
28-nov-1973,1323
1-dez-1973,1329
8-dez-1973,1315
12-dez-1973,1338
16-dez-1973,1369
29-ago-1976,1400
7-set-1976,1412
12-set-1976,1417
15-set-1976,1402
18-set-1976,1394
22-set-1976,1374
26-set-1976,1361
29-set-1976,1352
13-out-1976,1355
17-out-1976,1370
20-out-1976,1395
24-out-1976,1400
30-out-1976,1392
3-nov-1976,1387
7-nov-1976,1378
10-nov-1976,1373
14-nov-1976,1410
17-nov-1976,1418
21-nov-1976,1412
24-nov-1976,1395
20-out-1977,1385
27-out-1977,1375
30-out-1977,1395
2-nov-1977,1383
6-nov-1977,1383
13-nov-1977,1406
20-nov-1977,1432
23-nov-1977,1425
26-nov-1977,1412
4-dez-1977,1399
7-dez-1977,1397
14-dez-1977,1422
18-dez-1977,1410
26-mar-1978,1404
29-mar-1978,1430
2-abr-1978,1431
6-abr-1978,1424
9-abr-1978,1449
12-abr-1978,1455
16-abr-1978,1471
26-abr-1978,1496
7-mai-1978,1502
10-mai-1978,1496
14-mai-1978,1485
21-mai-1978,1482
24-mai-1978,1493
28-mai-1978,1503
13-jun-1978,1511
17-jun-1978,1492
25-set-1979,1468
30-set-1979,1440
3-out-1979,1441
6-out-1979,1458
14-out-1979,1443
17-out-1979,1457
21-out-1979,1460
28-out-1979,1487
3-nov-1979,1484
24-fev-1980,1462
27-fev-1980,1488
1-mar-1980,1475
5-mar-1980,1467
9-mar-1980,1454
16-mar-1980,1491
20-mar-1980,1499
23-mar-1980,1493
30-mar-1980,1480
18-jan-1981,1477
21-jan-1981,1465
25-jan-1981,1435
28-jan-1981,1470
31-jan-1981,1466
4-fev-1981,1458
7-fev-1981,1439
14-fev-1981,1435
21-fev-1981,1450
1-fev-1984,1458
5-fev-1984,1479
9-fev-1984,1470
12-fev-1984,1480
15-fev-1984,1485
22-fev-1984,1480
26-fev-1984,1460
29-fev-1984,1466
11-mar-1984,1492
14-mar-1984,1501
18-mar-1984,1484
21-mar-1984,1476
25-mar-1984,1476
30-mar-1984,1463
