date,rating
30-set-1979,1527
3-out-1979,1548
7-out-1979,1552
14-out-1979,1514
17-out-1979,1495
21-out-1979,1478
24-out-1979,1494
28-out-1979,1505
4-nov-1979,1487
12-out-1986,1495
16-out-1986,1505
19-out-1986,1492
22-out-1986,1509
26-out-1986,1507
30-out-1986,1517
2-nov-1986,1542
12-nov-1986,1553
26-nov-1986,1547
29-nov-1986,1534
3-dez-1986,1555
7-dez-1986,1533
10-dez-1986,1556
14-dez-1986,1567
25-jan-1987,1566
28-jan-1987,1577
13-set-1987,1563
17-set-1987,1586
20-set-1987,1604
23-set-1987,1580
27-set-1987,1560
30-set-1987,1574
4-out-1987,1589
24-out-1987,1611
28-out-1987,1632
1-nov-1987,1618
4-nov-1987,1636
8-nov-1987,1638
22-nov-1987,1636
25-nov-1987,1639
4-set-1988,1639
7-set-1988,1619
11-set-1988,1607
17-set-1988,1593
25-set-1988,1580
2-out-1988,1578
9-out-1988,1602
16-out-1988,1593
23-out-1988,1594
28-out-1988,1581
2-nov-1988,1568
6-nov-1988,1559
13-nov-1988,1561
16-nov-1988,1550
20-nov-1988,1550
24-nov-1988,1556
27-nov-1988,1555
1-dez-1988,1546
4-dez-1988,1530
7-dez-1988,1513
10-dez-1988,1496
15-dez-1988,1503
18-dez-1988,1498
4-set-1993,1482
12-set-1993,1504
15-set-1993,1514
18-set-1993,1490
22-set-1993,1515
25-set-1993,1493
29-set-1993,1522
6-out-1993,1511
10-out-1993,1516
13-out-1993,1526
16-out-1993,1528
20-out-1993,1527
24-out-1993,1513
27-out-1993,1530
13-ago-1994,1541
17-ago-1994,1532
21-ago-1994,1541
24-ago-1994,1544
28-ago-1994,1551
1-set-1994,1586
7-set-1994,1575
11-set-1994,1581
18-set-1994,1602
25-set-1994,1595
2-out-1994,1570
9-out-1994,1596
15-out-1994,1593
19-out-1994,1572
22-out-1994,1570
26-out-1994,1571
30-out-1994,1584
3-nov-1994,1557
6-nov-1994,1544
9-nov-1994,1561
16-nov-1994,1574
20-nov-1994,1562
23-nov-1994,1585
27-nov-1994,1589
20-ago-1995,1576
27-ago-1995,1578
30-ago-1995,1597
3-set-1995,1588
10-set-1995,1591
17-set-1995,1587
20-set-1995,1612
24-set-1995,1630
27-set-1995,1650
30-set-1995,1640
7-out-1995,1628
11-out-1995,1649
14-out-1995,1632
21-out-1995,1633
29-out-1995,1638
4-nov-1995,1644
8-nov-1995,1642
12-nov-1995,1629
15-nov-1995,1628
18-nov-1995,1614
21-nov-1995,1592
26-nov-1995,1620
