date,rating
7-ago-1971,1522
11-ago-1971,1535
15-ago-1971,1556
21-ago-1971,1555
25-ago-1971,1552
29-ago-1971,1580
1-set-1971,1560
4-set-1971,1557
11-set-1971,1568
19-set-1971,1563
26-set-1971,1559
29-set-1971,1543
3-out-1971,1527
10-out-1971,1528
17-out-1971,1545
24-out-1971,1540
30-out-1971,1556
7-nov-1971,1554
14-nov-1971,1550
21-nov-1971,1550
24-nov-1971,1526
28-nov-1971,1543
1-dez-1971,1544
5-dez-1971,1544
8-dez-1971,1521
9-set-1972,1517
13-set-1972,1531
17-set-1972,1554
20-set-1972,1539
24-set-1972,1552
27-set-1972,1567
1-out-1972,1576
4-out-1972,1596
8-out-1972,1595
11-out-1972,1615
14-out-1972,1634
18-out-1972,1630
22-out-1972,1627
25-out-1972,1607
29-out-1972,1587
1-nov-1972,1582
5-nov-1972,1577
8-nov-1972,1591
12-nov-1972,1590
16-nov-1972,1604
19-nov-1972,1619
22-nov-1972,1627
26-nov-1972,1620
29-nov-1972,1597
3-dez-1972,1593
10-dez-1972,1580
14-dez-1972,1554
17-dez-1972,1552
26-ago-1973,1574
29-ago-1973,1571
31-ago-1973,1589
5-set-1973,1561
9-set-1973,1572
12-set-1973,1582
15-set-1973,1592
23-set-1973,1592
26-set-1973,1589
30-set-1973,1588
3-out-1973,1595
7-out-1973,1590
14-out-1973,1577
17-out-1973,1582
21-out-1973,1591
24-out-1973,1576
27-out-1973,1589
31-out-1973,1589
4-nov-1973,1589
11-nov-1973,1585
14-nov-1973,1594
17-nov-1973,1612
25-nov-1973,1578
28-nov-1973,1551
2-dez-1973,1550
8-dez-1973,1570
13-dez-1973,1585
16-dez-1973,1580
12-jan-1974,1595
16-jan-1974,1609
19-jan-1974,1603
23-jan-1974,1600
26-jan-1974,1628
30-jan-1974,1629
3-fev-1974,1647
7-fev-1974,1659
10-fev-1974,1660
13-fev-1974,1649
17-fev-1974,1667
20-fev-1974,1650
10-mar-1974,1645
13-mar-1974,1652
17-mar-1974,1665
20-mar-1974,1656
23-mar-1974,1636
31-mar-1974,1628
6-abr-1974,1643
10-abr-1974,1639
13-abr-1974,1625
20-abr-1974,1635
27-abr-1974,1641
11-mai-1974,1654
15-mai-1974,1660
18-mai-1974,1653
25-mai-1974,1647
2-jun-1974,1648
5-jun-1974,1661
9-jun-1974,1653
13-jun-1974,1638
29-jun-1974,1654
3-jul-1974,1668
6-jul-1974,1679
13-jul-1974,1698
17-jul-1974,1705
21-jul-1974,1702
24-jul-1974,1701
28-jul-1974,1723
24-ago-1975,1713
27-ago-1975,1722
31-ago-1975,1732
3-set-1975,1744
7-set-1975,1739
10-set-1975,1730
14-set-1975,1751
17-set-1975,1741
20-set-1975,1733
24-set-1975,1738
9-out-1975,1728
12-out-1975,1742
16-out-1975,1753
19-out-1975,1752
22-out-1975,1732
26-out-1975,1739
29-out-1975,1748
1-nov-1975,1744
5-nov-1975,1749
8-nov-1975,1764
12-nov-1975,1759
15-nov-1975,1726
19-nov-1975,1708
23-nov-1975,1727
26-nov-1975,1736
30-nov-1975,1743
4-dez-1975,1738
7-dez-1975,1749
14-dez-1975,1735
4-set-1976,1726
7-set-1976,1734
12-set-1976,1726
16-set-1976,1717
19-set-1976,1724
26-set-1976,1715
29-set-1976,1725
3-out-1976,1705
16-out-1976,1711
21-out-1976,1705
24-out-1976,1716
27-out-1976,1721
16-out-1977,1737
23-out-1977,1744
30-out-1977,1732
2-nov-1977,1722
6-nov-1977,1709
10-nov-1977,1717
13-nov-1977,1672
16-nov-1977,1663
27-nov-1977,1682
4-dez-1977,1663
11-dez-1977,1655
14-dez-1977,1672
18-dez-1977,1666
29-jan-1978,1657
12-fev-1978,1657
15-fev-1978,1663
19-fev-1978,1638
22-fev-1978,1631
26-mar-1978,1612
2-abr-1978,1624
6-abr-1978,1644
9-abr-1978,1647
12-abr-1978,1654
16-abr-1978,1660
23-abr-1978,1692
26-abr-1978,1702
30-abr-1978,1710
7-mai-1978,1715
10-mai-1978,1694
14-mai-1978,1685
21-mai-1978,1689
24-mai-1978,1698
28-mai-1978,1701
4-jun-1978,1701
8-jun-1978,1709
13-jun-1978,1716
18-jun-1978,1728
24-jun-1978,1739
2-jul-1978,1740
5-jul-1978,1750
9-jul-1978,1742
13-jul-1978,1732
16-jul-1978,1715
20-jul-1978,1706
23-jul-1978,1704
23-set-1979,1709
30-set-1979,1699
4-out-1979,1672
6-out-1979,1672
10-out-1979,1688
14-out-1979,1698
18-out-1979,1703
24-out-1979,1727
4-nov-1979,1718
7-nov-1979,1728
11-nov-1979,1739
15-nov-1979,1745
18-nov-1979,1754
21-nov-1979,1745
25-nov-1979,1720
29-nov-1979,1727
2-dez-1979,1725
4-dez-1979,1715
8-dez-1979,1713
24-fev-1980,1713
27-fev-1980,1705
1-mar-1980,1698
8-mar-1980,1706
12-mar-1980,1726
16-mar-1980,1704
20-mar-1980,1696
23-mar-1980,1712
30-mar-1980,1674
6-abr-1980,1697
13-abr-1980,1710
16-abr-1980,1719
20-abr-1980,1710
27-abr-1980,1708
3-mai-1980,1721
11-mai-1980,1720
15-mai-1980,1692
18-mai-1980,1683
18-jan-1981,1656
21-jan-1981,1663
25-jan-1981,1652
28-jan-1981,1659
31-jan-1981,1661
4-fev-1981,1668
7-fev-1981,1672
14-fev-1981,1642
21-fev-1981,1650
7-mar-1981,1659
12-mar-1981,1620
15-mar-1981,1596
21-mar-1981,1606
28-mar-1981,1628
4-abr-1981,1610
17-jan-1982,1580
24-jan-1982,1605
28-jan-1982,1593
31-jan-1982,1562
3-fev-1982,1538
7-fev-1982,1524
10-fev-1982,1546
13-fev-1982,1564
28-fev-1982,1567
7-mar-1982,1575
10-mar-1982,1558
14-mar-1982,1566
17-mar-1982,1549
24-mar-1982,1527
22-jan-1983,1552
30-jan-1983,1544
2-fev-1983,1561
5-fev-1983,1569
9-fev-1983,1582
19-fev-1983,1592
23-fev-1983,1599
27-fev-1983,1570
13-mar-1983,1562
16-mar-1983,1583
19-mar-1983,1588
26-mar-1983,1600
30-mar-1983,1580
3-abr-1983,1587
29-jan-1984,1572
1-fev-1984,1553
4-fev-1984,1519
8-fev-1984,1506
16-fev-1984,1511
19-fev-1984,1531
22-fev-1984,1557
26-fev-1984,1558
27-jan-1985,1563
31-jan-1985,1551
3-fev-1985,1575
6-fev-1985,1580
9-fev-1985,1588
13-fev-1985,1574
24-fev-1985,1583
27-fev-1985,1605
3-mar-1985,1592
6-mar-1985,1616
10-mar-1985,1620
13-mar-1985,1604
17-mar-1985,1588
21-mar-1985,1594
24-mar-1985,1585
27-mar-1985,1588
31-mar-1985,1594
7-abr-1985,1624
10-abr-1985,1644
14-abr-1985,1624
31-ago-1986,1613
2-set-1986,1601
7-set-1986,1620
11-set-1986,1636
14-set-1986,1638
18-set-1986,1649
24-set-1986,1659
27-set-1986,1651
2-out-1986,1633
5-out-1986,1637
12-out-1986,1657
