date,rating
10-mar-1974,1485
17-mar-1974,1461
20-mar-1974,1436
23-mar-1974,1421
27-mar-1974,1401
30-mar-1974,1406
6-abr-1974,1397
13-abr-1974,1413
21-abr-1974,1423
27-abr-1974,1410
4-mai-1974,1402
15-mai-1974,1396
18-mai-1974,1375
22-mai-1974,1371
29-mai-1974,1361
2-jun-1974,1349
5-jun-1974,1339
8-jun-1974,1324
13-jun-1974,1316
20-ago-1975,1343
24-ago-1975,1375
27-ago-1975,1392
3-set-1975,1393
6-set-1975,1383
11-set-1975,1372
14-set-1975,1391
21-set-1975,1395
24-set-1975,1387
1-out-1975,1398
5-out-1975,1386
26-out-1975,1373
29-out-1975,1376
2-nov-1975,1360
5-nov-1975,1347
9-nov-1975,1333
29-ago-1976,1340
1-set-1976,1351
4-set-1976,1338
7-set-1976,1326
19-set-1976,1335
22-set-1976,1359
26-set-1976,1375
29-set-1976,1381
10-out-1976,1366
13-out-1976,1351
17-out-1976,1336
24-out-1976,1340
16-out-1977,1346
19-out-1977,1342
23-out-1977,1353
30-out-1977,1385
6-nov-1977,1385
12-nov-1977,1414
16-nov-1977,1406
23-nov-1977,1419
26-nov-1977,1397
7-dez-1977,1393
11-dez-1977,1400
14-dez-1977,1392
18-dez-1977,1381
30-mar-1978,1372
2-abr-1978,1375
6-abr-1978,1365
9-abr-1978,1357
16-abr-1978,1341
20-abr-1978,1327
23-abr-1978,1339
30-abr-1978,1334
4-mai-1978,1362
7-mai-1978,1374
11-mai-1978,1399
21-mai-1978,1403
24-mai-1978,1402
28-mai-1978,1378
31-mai-1978,1404
17-jun-1978,1415
25-set-1979,1418
3-out-1979,1404
6-out-1979,1422
10-out-1979,1439
14-out-1979,1455
18-out-1979,1458
21-out-1979,1482
27-out-1979,1465
4-nov-1979,1490
7-nov-1979,1505
11-nov-1979,1489
15-nov-1979,1489
18-nov-1979,1504
21-nov-1979,1480
25-nov-1979,1505
28-nov-1979,1489
18-jan-1981,1482
21-jan-1981,1469
25-jan-1981,1478
29-jan-1981,1494
1-fev-1981,1502
4-fev-1981,1473
7-fev-1981,1473
14-fev-1981,1485
26-fev-1981,1473
7-mar-1981,1484
12-mar-1981,1518
15-mar-1981,1497
19-mar-1981,1509
26-mar-1981,1529
4-abr-1981,1548
17-jan-1982,1537
24-jan-1982,1546
28-jan-1982,1527
31-jan-1982,1528
4-fev-1982,1519
7-fev-1982,1523
10-fev-1982,1524
14-fev-1982,1510
23-jan-1983,1529
26-jan-1983,1549
2-fev-1983,1542
5-fev-1983,1529
19-fev-1983,1523
23-fev-1983,1512
27-fev-1983,1505
6-mar-1983,1486
28-jan-1985,1468
31-jan-1985,1487
3-fev-1985,1466
6-fev-1985,1459
10-fev-1985,1469
13-fev-1985,1474
24-fev-1985,1486
27-fev-1985,1487
3-mar-1985,1477
6-mar-1985,1490
9-mar-1985,1510
17-mar-1985,1492
20-mar-1985,1474
24-mar-1985,1484
27-mar-1985,1494
31-mar-1985,1487
3-abr-1985,1517
7-abr-1985,1512
10-abr-1985,1540
14-abr-1985,1528
17-abr-1985,1525
21-abr-1985,1541
3-jul-1985,1548
7-jul-1985,1553
10-jul-1985,1542
14-jul-1985,1527
17-jul-1985,1536
21-jul-1985,1519
31-ago-1986,1514
4-set-1986,1514
7-set-1986,1504
10-set-1986,1540
17-set-1986,1518
21-set-1986,1531
24-set-1986,1535
27-set-1986,1536
2-out-1986,1519
5-out-1986,1541
16-out-1986,1529
22-out-1986,1533
26-out-1986,1537
29-out-1986,1537
2-nov-1986,1522
5-nov-1986,1524
9-nov-1986,1546
19-nov-1986,1545
23-nov-1986,1549
26-nov-1986,1572
3-dez-1986,1593
7-dez-1986,1570
10-dez-1986,1588
14-dez-1986,1576
25-jan-1987,1565
28-jan-1987,1545
13-set-1987,1539
19-set-1987,1554
23-set-1987,1533
27-set-1987,1537
30-set-1987,1523
4-out-1987,1541
7-out-1987,1522
18-out-1987,1505
21-out-1987,1508
25-out-1987,1510
1-nov-1987,1517
8-nov-1987,1502
11-nov-1987,1495
20-nov-1987,1474
