date,rating
16-out-1977,1470
20-out-1977,1494
26-out-1977,1478
29-out-1977,1459
5-nov-1977,1433
9-nov-1977,1426
13-nov-1977,1411
16-nov-1977,1420
20-nov-1977,1402
4-dez-1977,1418
11-dez-1977,1430
14-dez-1977,1453
18-dez-1977,1440
29-jan-1978,1443
1-fev-1978,1440
15-fev-1978,1433
19-fev-1978,1423
22-fev-1978,1415
26-mar-1978,1443
29-mar-1978,1438
5-abr-1978,1423
12-abr-1978,1423
23-abr-1978,1438
26-abr-1978,1454
30-abr-1978,1454
3-mai-1978,1443
7-mai-1978,1425
11-mai-1978,1448
14-mai-1978,1437
21-mai-1978,1446
28-mai-1978,1421
31-mai-1978,1407
4-jun-1978,1407
17-jun-1978,1383
30-set-1979,1363
4-out-1979,1354
6-out-1979,1328
10-out-1979,1308
17-out-1979,1329
21-out-1979,1332
24-out-1979,1354
28-out-1979,1327
4-nov-1979,1334
