date,rating
25-set-1979,1498
30-set-1979,1513
6-out-1979,1510
14-out-1979,1529
18-out-1979,1525
21-out-1979,1522
28-out-1979,1493
1-nov-1979,1478
4-nov-1979,1472
24-fev-1980,1473
27-fev-1980,1477
2-mar-1980,1485
5-mar-1980,1481
8-mar-1980,1492
16-mar-1980,1505
19-mar-1980,1487
30-mar-1980,1488
6-abr-1980,1468
12-abr-1980,1471
16-abr-1980,1457
20-abr-1980,1444
26-abr-1980,1454
4-mai-1980,1442
18-jan-1981,1458
22-jan-1981,1441
25-jan-1981,1453
28-jan-1981,1493
1-fev-1981,1473
4-fev-1981,1482
7-fev-1981,1482
14-fev-1981,1497
26-fev-1981,1506
7-mar-1981,1497
12-mar-1981,1484
15-mar-1981,1461
21-mar-1981,1451
28-mar-1981,1440
4-abr-1981,1421
17-jan-1982,1411
24-jan-1982,1388
28-jan-1982,1381
31-jan-1982,1376
4-fev-1982,1398
7-fev-1982,1395
10-fev-1982,1392
14-fev-1982,1370
23-jan-1983,1366
26-jan-1983,1352
30-jan-1983,1359
5-fev-1983,1375
9-fev-1983,1362
23-fev-1983,1346
27-fev-1983,1342
6-mar-1983,1337
1-fev-1984,1347
5-fev-1984,1360
9-fev-1984,1356
12-fev-1984,1335
15-fev-1984,1305
19-fev-1984,1311
23-fev-1984,1306
29-fev-1984,1300
2-mar-1984,1294
