date,rating
8-ago-1971,1500
15-ago-1971,1484
18-ago-1971,1499
22-ago-1971,1484
25-ago-1971,1483
29-ago-1971,1471
1-set-1971,1457
4-set-1971,1445
11-set-1971,1434
19-set-1971,1439
26-set-1971,1443
3-out-1971,1457
10-out-1971,1474
16-out-1971,1501
24-out-1971,1488
27-out-1971,1486
31-out-1971,1485
6-nov-1971,1472
13-nov-1971,1500
10-set-1972,1502
13-set-1972,1525
16-set-1972,1538
21-set-1972,1534
24-set-1972,1549
27-set-1972,1534
1-out-1972,1531
4-out-1972,1526
8-out-1972,1540
12-out-1972,1527
15-out-1972,1509
18-out-1972,1504
21-out-1972,1531
26-out-1972,1515
29-out-1972,1530
1-nov-1972,1512
5-nov-1972,1523
8-nov-1972,1493
12-nov-1972,1495
16-nov-1972,1518
19-nov-1972,1503
23-nov-1972,1507
26-nov-1972,1508
29-nov-1972,1507
3-dez-1972,1519
9-dez-1972,1518
13-dez-1972,1503
17-dez-1972,1507
26-ago-1973,1507
29-ago-1973,1531
31-ago-1973,1505
5-set-1973,1518
9-set-1973,1526
12-set-1973,1553
16-set-1973,1573
23-set-1973,1574
26-set-1973,1554
30-set-1973,1555
3-out-1973,1552
6-out-1973,1561
14-out-1973,1547
17-out-1973,1558
21-out-1973,1539
25-out-1973,1525
27-out-1973,1517
31-out-1973,1516
3-nov-1973,1507
11-nov-1973,1519
14-nov-1973,1516
18-nov-1973,1518
24-nov-1973,1503
29-nov-1973,1488
2-dez-1973,1502
8-dez-1973,1488
13-dez-1973,1473
16-dez-1973,1478
10-mar-1974,1475
13-mar-1974,1490
17-mar-1974,1489
20-mar-1974,1467
23-mar-1974,1453
30-mar-1974,1430
6-abr-1974,1432
13-abr-1974,1426
21-abr-1974,1447
27-abr-1974,1446
2-mai-1974,1467
11-mai-1974,1450
15-mai-1974,1455
18-mai-1974,1462
25-mai-1974,1450
2-jun-1974,1437
5-jun-1974,1437
12-jun-1974,1443
19-jun-1974,1449
30-jun-1974,1443
3-jul-1974,1430
6-jul-1974,1420
14-jul-1974,1425
18-jul-1974,1454
20-ago-1975,1443
24-ago-1975,1434
30-ago-1975,1475
7-set-1975,1477
14-set-1975,1488
17-set-1975,1475
21-set-1975,1461
24-set-1975,1476
27-set-1975,1504
5-out-1975,1527
8-out-1975,1519
11-out-1975,1526
14-out-1975,1556
18-out-1975,1579
22-out-1975,1566
26-out-1975,1599
30-out-1975,1613
2-nov-1975,1639
5-nov-1975,1634
8-nov-1975,1654
12-nov-1975,1669
16-nov-1975,1668
19-nov-1975,1685
23-nov-1975,1696
26-nov-1975,1709
30-nov-1975,1690
3-dez-1975,1709
7-dez-1975,1689
1-set-1976,1677
7-set-1976,1646
12-set-1976,1642
15-set-1976,1650
19-set-1976,1659
22-set-1976,1676
26-set-1976,1656
29-set-1976,1665
10-out-1976,1671
13-out-1976,1647
16-out-1976,1665
20-out-1976,1663
23-out-1976,1657
31-out-1976,1673
3-nov-1976,1678
7-nov-1976,1696
10-nov-1976,1716
14-nov-1976,1730
17-nov-1976,1694
21-nov-1976,1693
28-nov-1976,1705
16-out-1977,1711
19-out-1977,1718
23-out-1977,1720
26-out-1977,1734
30-out-1977,1714
2-nov-1977,1718
6-nov-1977,1708
9-nov-1977,1685
15-nov-1977,1702
20-nov-1977,1715
4-dez-1977,1695
7-dez-1977,1699
11-dez-1977,1681
15-dez-1977,1677
26-mar-1978,1663
29-mar-1978,1653
2-abr-1978,1623
6-abr-1978,1617
9-abr-1978,1624
12-abr-1978,1632
16-abr-1978,1639
4-mai-1978,1649
7-mai-1978,1621
9-mai-1978,1637
11-mai-1978,1614
21-mai-1978,1626
28-mai-1978,1626
1-jun-1978,1623
4-jun-1978,1608
10-jun-1978,1598
13-jun-1978,1609
20-jun-1978,1624
24-jun-1978,1627
1-jul-1978,1630
5-jul-1978,1629
9-jul-1978,1636
13-jul-1978,1649
16-jul-1978,1664
20-jul-1978,1640
23-jul-1978,1626
8-nov-1979,1620
11-nov-1979,1615
15-nov-1979,1611
17-nov-1979,1621
21-nov-1979,1636
25-nov-1979,1630
29-nov-1979,1650
24-fev-1980,1636
27-fev-1980,1652
2-mar-1980,1649
5-mar-1980,1668
9-mar-1980,1670
16-mar-1980,1659
19-mar-1980,1674
22-mar-1980,1687
30-mar-1980,1676
6-abr-1980,1653
12-abr-1980,1665
17-abr-1980,1658
20-abr-1980,1653
27-abr-1980,1656
3-mai-1980,1673
11-mai-1980,1679
14-mai-1980,1663
18-mai-1980,1650
18-jan-1981,1642
21-jan-1981,1655
24-jan-1981,1663
28-jan-1981,1623
1-fev-1981,1644
4-fev-1981,1658
7-fev-1981,1619
14-fev-1981,1601
21-fev-1981,1590
7-mar-1981,1593
11-mar-1981,1574
15-mar-1981,1592
21-mar-1981,1594
28-mar-1981,1592
4-abr-1981,1606
20-jan-1982,1604
24-jan-1982,1591
28-jan-1982,1611
31-jan-1982,1619
3-fev-1982,1621
7-fev-1982,1617
10-fev-1982,1623
17-fev-1982,1620
28-fev-1982,1618
7-mar-1982,1588
10-mar-1982,1600
13-mar-1982,1626
17-mar-1982,1635
24-mar-1982,1656
23-jan-1983,1643
26-jan-1983,1623
30-jan-1983,1614
2-fev-1983,1591
9-fev-1983,1605
19-fev-1983,1618
23-fev-1983,1629
6-mar-1983,1648
12-mar-1983,1643
16-mar-1983,1627
19-mar-1983,1601
26-mar-1983,1618
30-mar-1983,1626
3-abr-1983,1622
29-jan-1984,1627
1-fev-1984,1617
8-fev-1984,1625
11-fev-1984,1629
19-fev-1984,1635
22-fev-1984,1642
26-fev-1984,1632
29-fev-1984,1638
11-mar-1984,1637
14-mar-1984,1663
18-mar-1984,1691
21-mar-1984,1708
25-mar-1984,1709
1-abr-1984,1677
7-abr-1984,1690
11-abr-1984,1688
15-abr-1984,1702
18-abr-1984,1722
21-abr-1984,1739
25-abr-1984,1733
29-abr-1984,1729
6-mai-1984,1750
13-mai-1984,1772
20-mai-1984,1770
24-mai-1984,1786
27-mai-1984,1786
26-jan-1985,1799
30-jan-1985,1810
6-fev-1985,1806
9-fev-1985,1797
13-fev-1985,1776
16-fev-1985,1753
24-fev-1985,1735
27-fev-1985,1737
2-mar-1985,1751
6-mar-1985,1744
10-mar-1985,1743
13-mar-1985,1737
17-mar-1985,1724
21-mar-1985,1738
24-mar-1985,1747
27-mar-1985,1729
31-mar-1985,1712
7-abr-1985,1715
10-abr-1985,1732
14-abr-1985,1746
31-ago-1986,1762
2-set-1986,1772
7-set-1986,1745
10-set-1986,1732
13-set-1986,1744
18-set-1986,1732
21-set-1986,1738
25-set-1986,1724
27-set-1986,1709
1-out-1986,1723
12-out-1986,1735
16-out-1986,1744
19-out-1986,1743
23-out-1986,1751
26-out-1986,1743
26-out-1986,1725
