date,rating
24-ago-1975,1509
27-ago-1975,1501
31-ago-1975,1480
4-set-1975,1467
7-set-1975,1451
10-set-1975,1452
14-set-1975,1434
17-set-1975,1458
25-set-1975,1461
28-set-1975,1477
5-out-1975,1489
19-out-1975,1484
22-out-1975,1472
25-out-1975,1460
29-out-1975,1469
1-nov-1975,1486
29-ago-1976,1453
1-set-1976,1459
7-set-1976,1437
12-set-1976,1424
16-set-1976,1408
19-set-1976,1427
25-set-1976,1427
29-set-1976,1416
10-out-1976,1446
14-out-1976,1449
17-out-1976,1437
21-out-1976,1402
16-out-1977,1389
19-out-1977,1410
2-nov-1977,1397
6-nov-1977,1401
13-nov-1977,1402
16-nov-1977,1391
20-nov-1977,1397
23-nov-1977,1390
27-nov-1977,1368
1-dez-1977,1346
4-dez-1977,1323
7-dez-1977,1345
14-dez-1977,1337
22-set-1979,1342
26-set-1979,1336
6-out-1979,1353
11-out-1979,1374
17-out-1979,1380
20-out-1979,1368
28-out-1979,1355
1-nov-1979,1347
4-nov-1979,1334
