date,rating
26-ago-1973,1500
29-ago-1973,1515
2-set-1973,1536
5-set-1973,1547
9-set-1973,1547
12-set-1973,1543
16-set-1973,1526
22-set-1973,1509
26-set-1973,1523
30-set-1973,1505
3-out-1973,1504
7-out-1973,1516
14-out-1973,1542
17-out-1973,1544
20-out-1973,1542
24-out-1973,1566
27-out-1973,1587
31-out-1973,1601
4-nov-1973,1591
11-nov-1973,1554
14-nov-1973,1550
17-nov-1973,1548
25-nov-1973,1516
28-nov-1973,1534
2-dez-1973,1528
8-dez-1973,1525
12-dez-1973,1536
16-dez-1973,1551
13-jan-1974,1555
16-jan-1974,1542
20-jan-1974,1545
23-jan-1974,1533
27-jan-1974,1557
30-jan-1974,1537
3-fev-1974,1522
6-fev-1974,1529
10-fev-1974,1526
10-mar-1974,1537
13-mar-1974,1539
17-mar-1974,1563
21-mar-1974,1544
23-mar-1974,1542
30-mar-1974,1518
6-abr-1974,1502
20-abr-1974,1492
4-mai-1974,1489
8-mai-1974,1505
11-mai-1974,1529
15-mai-1974,1544
18-mai-1974,1543
22-mai-1974,1548
26-mai-1974,1530
29-mai-1974,1550
5-jun-1974,1530
12-jun-1974,1530
13-jun-1974,1549
30-jun-1974,1533
3-jul-1974,1539
6-jul-1974,1542
14-jul-1974,1537
17-jul-1974,1523
20-ago-1975,1529
31-ago-1975,1550
3-set-1975,1545
7-set-1975,1540
14-set-1975,1561
18-set-1975,1575
21-set-1975,1575
24-set-1975,1582
28-set-1975,1586
1-out-1975,1580
5-out-1975,1576
8-out-1975,1598
12-out-1975,1583
14-out-1975,1553
19-out-1975,1565
22-out-1975,1561
26-out-1975,1532
29-out-1975,1533
2-nov-1975,1522
6-nov-1975,1526
9-nov-1975,1526
29-ago-1976,1524
1-set-1976,1534
4-set-1976,1520
7-set-1976,1542
15-set-1976,1529
19-set-1976,1529
26-set-1976,1549
29-set-1976,1560
10-out-1976,1561
13-out-1976,1550
17-out-1976,1524
20-out-1976,1521
23-out-1976,1527
20-out-1977,1526
23-out-1977,1505
26-out-1977,1505
30-out-1977,1486
6-nov-1977,1482
12-nov-1977,1483
20-nov-1977,1495
23-nov-1977,1515
27-nov-1977,1512
1-dez-1977,1511
11-dez-1977,1531
14-dez-1977,1539
18-dez-1977,1520
25-mar-1978,1497
29-mar-1978,1494
2-abr-1978,1503
12-abr-1978,1517
16-abr-1978,1536
20-abr-1978,1550
23-abr-1978,1559
26-abr-1978,1558
30-abr-1978,1546
3-mai-1978,1560
14-mai-1978,1583
21-mai-1978,1615
24-mai-1978,1611
4-jun-1978,1627
7-jun-1978,1646
11-jun-1978,1622
17-jun-1978,1602
20-jun-1978,1593
24-jun-1978,1619
2-jul-1978,1627
5-jul-1978,1629
9-jul-1978,1599
13-jul-1978,1592
16-jul-1978,1622
19-jul-1978,1591
23-jul-1978,1608
23-set-1979,1612
27-set-1979,1621
4-out-1979,1648
6-out-1979,1625
11-out-1979,1630
17-out-1979,1615
20-out-1979,1633
31-out-1979,1613
4-nov-1979,1622
8-nov-1979,1642
11-nov-1979,1654
15-nov-1979,1648
18-nov-1979,1659
21-nov-1979,1651
25-nov-1979,1658
28-nov-1979,1667
2-dez-1979,1658
4-dez-1979,1675
8-dez-1979,1677
18-jan-1981,1680
21-jan-1981,1649
25-jan-1981,1644
28-jan-1981,1666
31-jan-1981,1644
7-fev-1981,1657
11-fev-1981,1659
14-fev-1981,1684
21-fev-1981,1689
7-mar-1981,1678
11-mar-1981,1640
15-mar-1981,1621
21-mar-1981,1627
28-mar-1981,1628
4-abr-1981,1607
17-jan-1982,1596
20-jan-1982,1615
28-jan-1982,1612
31-jan-1982,1635
7-fev-1982,1632
10-fev-1982,1614
14-fev-1982,1619
17-fev-1982,1585
23-jan-1983,1594
30-jan-1983,1575
2-fev-1983,1564
9-fev-1983,1547
13-fev-1983,1549
19-fev-1983,1535
27-fev-1983,1551
6-mar-1983,1526
12-mar-1983,1531
16-mar-1983,1542
19-mar-1983,1521
26-mar-1983,1529
30-mar-1983,1548
3-abr-1983,1551
11-abr-1983,1541
13-abr-1983,1549
16-abr-1983,1556
20-abr-1983,1565
23-abr-1983,1587
30-abr-1983,1607
31-jan-1984,1592
5-fev-1984,1599
8-fev-1984,1611
12-fev-1984,1593
15-fev-1984,1602
22-fev-1984,1622
26-fev-1984,1612
29-fev-1984,1619
2-mar-1984,1625
11-mar-1984,1631
14-mar-1984,1605
18-mar-1984,1628
21-mar-1984,1618
25-mar-1984,1631
1-abr-1984,1663
7-abr-1984,1666
11-abr-1984,1663
14-abr-1984,1634
19-abr-1984,1618
22-abr-1984,1606
25-abr-1984,1593
27-jan-1985,1570
31-jan-1985,1561
3-fev-1985,1593
7-fev-1985,1592
10-fev-1985,1593
14-fev-1985,1601
24-fev-1985,1607
27-fev-1985,1598
2-mar-1985,1584
6-mar-1985,1568
9-mar-1985,1597
13-mar-1985,1615
17-mar-1985,1589
20-mar-1985,1614
24-mar-1985,1592
27-mar-1985,1614
31-mar-1985,1617
7-abr-1985,1623
10-abr-1985,1607
14-abr-1985,1597
31-ago-1986,1577
4-set-1986,1583
7-set-1986,1585
10-set-1986,1590
14-set-1986,1589
21-set-1986,1599
25-set-1986,1585
27-set-1986,1600
1-out-1986,1577
5-out-1986,1587
23-out-1986,1560
25-out-1986,1544
2-nov-1986,1528
5-nov-1986,1528
9-nov-1986,1566
13-nov-1986,1557
16-nov-1986,1555
19-nov-1986,1579
22-nov-1986,1601
26-nov-1986,1608
29-nov-1986,1605
3-dez-1986,1591
7-dez-1986,1604
10-dez-1986,1601
14-dez-1986,1603
25-jan-1987,1597
12-set-1987,1582
18-set-1987,1601
26-set-1987,1613
30-set-1987,1605
4-out-1987,1592
8-out-1987,1570
11-out-1987,1574
16-out-1987,1606
24-out-1987,1605
28-out-1987,1590
1-nov-1987,1592
8-nov-1987,1595
11-nov-1987,1586
18-nov-1987,1578
22-nov-1987,1582
4-set-1988,1573
7-set-1988,1557
11-set-1988,1558
18-set-1988,1530
25-set-1988,1536
2-out-1988,1537
8-out-1988,1539
15-out-1988,1558
23-out-1988,1575
30-out-1988,1611
6-nov-1988,1611
9-nov-1988,1598
13-nov-1988,1629
17-nov-1988,1619
20-nov-1988,1619
23-nov-1988,1626
26-nov-1988,1657
30-nov-1988,1633
4-dez-1988,1620
8-dez-1988,1626
11-dez-1988,1628
15-dez-1988,1635
18-dez-1988,1639
7-set-1989,1658
10-set-1989,1676
17-set-1989,1653
20-set-1989,1651
1-out-1989,1637
4-out-1989,1623
8-out-1989,1640
14-out-1989,1670
18-out-1989,1658
22-out-1989,1659
29-out-1989,1639
4-nov-1989,1624
12-nov-1989,1628
18-nov-1989,1630
23-nov-1989,1635
