date,rating
20-out-1977,1501
27-out-1977,1504
30-out-1977,1501
2-nov-1977,1515
5-nov-1977,1498
9-nov-1977,1517
17-nov-1977,1537
20-nov-1977,1531
24-nov-1977,1557
4-dez-1977,1545
8-dez-1977,1560
11-dez-1977,1543
14-dez-1977,1545
26-mar-1978,1553
2-abr-1978,1561
6-abr-1978,1529
9-abr-1978,1522
12-abr-1978,1525
16-abr-1978,1522
20-abr-1978,1526
30-abr-1978,1511
4-mai-1978,1501
11-mai-1978,1522
14-mai-1978,1534
31-mai-1978,1539
4-jun-1978,1522
8-jun-1978,1516
11-jun-1978,1517
13-jun-1978,1524
18-jun-1978,1513
20-jun-1978,1529
24-jun-1978,1550
2-jul-1978,1523
5-jul-1978,1505
9-jul-1978,1495
13-jul-1978,1482
16-jul-1978,1469
19-jul-1978,1498
23-jul-1978,1481
7-nov-1979,1478
10-nov-1979,1502
15-nov-1979,1487
18-nov-1979,1472
21-nov-1979,1452
25-nov-1979,1439
28-nov-1979,1423
