date,rating
8-ago-1971,1500
15-ago-1971,1479
21-ago-1971,1496
25-ago-1971,1511
29-ago-1971,1494
1-set-1971,1494
5-set-1971,1497
8-set-1971,1494
11-set-1971,1495
19-set-1971,1508
26-set-1971,1508
2-out-1971,1534
6-out-1971,1532
10-out-1971,1529
17-out-1971,1546
23-out-1971,1545
31-out-1971,1522
6-nov-1971,1532
14-nov-1971,1556
20-nov-1971,1555
25-nov-1971,1527
28-nov-1971,1503
1-dez-1971,1530
5-dez-1971,1545
9-dez-1971,1562
13-set-1972,1529
17-set-1972,1541
20-set-1972,1558
23-set-1972,1572
27-set-1972,1571
1-out-1972,1567
4-out-1972,1564
8-out-1972,1564
12-out-1972,1561
15-out-1972,1554
19-out-1972,1551
22-out-1972,1555
25-out-1972,1553
29-out-1972,1565
1-nov-1972,1548
5-nov-1972,1558
9-nov-1972,1569
12-nov-1972,1570
16-nov-1972,1594
18-nov-1972,1592
21-nov-1972,1608
23-nov-1972,1603
26-nov-1972,1624
29-nov-1972,1634
3-dez-1972,1641
10-dez-1972,1654
14-dez-1972,1668
17-dez-1972,1663
20-dez-1972,1664
25-ago-1973,1642
30-ago-1973,1634
31-ago-1973,1616
5-set-1973,1622
9-set-1973,1630
12-set-1973,1635
16-set-1973,1619
22-set-1973,1600
30-set-1973,1595
3-out-1973,1591
6-out-1973,1602
10-out-1973,1597
14-out-1973,1609
17-out-1973,1619
21-out-1973,1620
24-out-1973,1635
27-out-1973,1648
31-out-1973,1659
3-nov-1973,1668
11-nov-1973,1667
15-nov-1973,1655
18-nov-1973,1639
25-nov-1973,1651
28-nov-1973,1625
2-dez-1973,1621
8-dez-1973,1620
12-dez-1973,1629
15-dez-1973,1626
13-jan-1974,1622
17-jan-1974,1634
20-jan-1974,1637
23-jan-1974,1647
27-jan-1974,1639
30-jan-1974,1622
3-fev-1974,1637
6-fev-1974,1647
10-fev-1974,1644
13-fev-1974,1621
17-fev-1974,1612
20-fev-1974,1630
10-mar-1974,1609
13-mar-1974,1620
17-mar-1974,1631
20-mar-1974,1638
23-mar-1974,1655
30-mar-1974,1666
6-abr-1974,1660
13-abr-1974,1657
20-abr-1974,1669
27-abr-1974,1662
4-mai-1974,1638
11-mai-1974,1635
15-mai-1974,1646
18-mai-1974,1609
25-mai-1974,1624
2-jun-1974,1622
5-jun-1974,1636
13-jun-1974,1608
19-jun-1974,1601
30-jun-1974,1599
3-jul-1974,1612
6-jul-1974,1609
14-jul-1974,1621
17-jul-1974,1638
21-jul-1974,1641
24-jul-1974,1628
28-jul-1974,1629
20-ago-1975,1639
23-ago-1975,1666
27-ago-1975,1675
30-ago-1975,1688
7-set-1975,1687
10-set-1975,1693
14-set-1975,1705
17-set-1975,1710
21-set-1975,1701
24-set-1975,1710
28-set-1975,1690
8-out-1975,1708
12-out-1975,1722
15-out-1975,1732
19-out-1975,1732
22-out-1975,1746
26-out-1975,1739
29-out-1975,1717
2-nov-1975,1710
6-nov-1975,1724
9-nov-1975,1720
12-nov-1975,1699
16-nov-1975,1712
19-nov-1975,1710
23-nov-1975,1720
27-nov-1975,1728
30-nov-1975,1724
4-dez-1975,1741
7-dez-1975,1761
14-dez-1975,1776
1-set-1976,1786
7-set-1976,1798
12-set-1976,1772
19-set-1976,1777
22-set-1976,1782
26-set-1976,1796
29-set-1976,1801
3-out-1976,1810
10-out-1976,1804
13-out-1976,1814
17-out-1976,1820
20-out-1976,1828
24-out-1976,1839
30-out-1976,1815
3-nov-1976,1826
7-nov-1976,1842
10-nov-1976,1847
14-nov-1976,1856
21-nov-1976,1835
24-nov-1976,1844
28-nov-1976,1850
16-out-1977,1840
19-out-1977,1845
23-out-1977,1853
30-out-1977,1860
6-nov-1977,1817
13-nov-1977,1822
16-nov-1977,1827
20-nov-1977,1837
27-nov-1977,1825
4-dez-1977,1834
7-dez-1977,1826
11-dez-1977,1787
18-dez-1977,1770
26-mar-1978,1776
29-mar-1978,1784
2-abr-1978,1793
9-abr-1978,1801
12-abr-1978,1806
16-abr-1978,1814
19-abr-1978,1819
23-abr-1978,1798
30-abr-1978,1761
7-mai-1978,1753
11-mai-1978,1742
14-mai-1978,1756
28-mai-1978,1754
31-mai-1978,1763
4-jun-1978,1777
8-jun-1978,1783
10-jun-1978,1792
13-jun-1978,1797
17-jun-1978,1792
24-jun-1978,1798
2-jul-1978,1759
6-jul-1978,1769
9-jul-1978,1778
13-jul-1978,1786
16-jul-1978,1793
19-jul-1978,1800
23-jul-1978,1809
23-set-1979,1796
26-set-1979,1810
30-set-1979,1814
6-out-1979,1829
10-out-1979,1841
13-out-1979,1851
21-out-1979,1845
28-out-1979,1849
31-out-1979,1840
7-nov-1979,1844
11-nov-1979,1849
15-nov-1979,1838
18-nov-1979,1825
22-nov-1979,1814
25-nov-1979,1822
28-nov-1979,1827
2-dez-1979,1835
4-dez-1979,1846
8-dez-1979,1854
23-fev-1980,1826
27-fev-1980,1830
2-mar-1980,1811
5-mar-1980,1815
8-mar-1980,1820
13-mar-1980,1794
16-mar-1980,1803
27-mar-1980,1782
30-mar-1980,1785
3-abr-1980,1797
6-abr-1980,1810
9-abr-1980,1823
23-abr-1980,1795
4-mai-1980,1804
7-mai-1980,1814
11-mai-1980,1822
14-mai-1980,1832
18-mai-1980,1841
18-jan-1981,1851
22-jan-1981,1856
25-jan-1981,1826
28-jan-1981,1832
1-fev-1981,1807
4-fev-1981,1797
7-fev-1981,1788
14-fev-1981,1778
21-fev-1981,1768
7-mar-1981,1780
11-mar-1981,1792
15-mar-1981,1784
21-mar-1981,1777
28-mar-1981,1800
4-abr-1981,1794
17-jan-1982,1803
24-jan-1982,1799
28-jan-1982,1803
31-jan-1982,1781
3-fev-1982,1778
6-fev-1982,1785
10-fev-1982,1803
14-fev-1982,1767
28-fev-1982,1764
7-mar-1982,1733
11-mar-1982,1736
14-mar-1982,1718
17-mar-1982,1705
25-mar-1982,1689
23-jan-1983,1707
29-jan-1983,1714
2-fev-1983,1681
5-fev-1983,1660
9-fev-1983,1666
19-fev-1983,1662
27-fev-1983,1636
6-mar-1983,1632
13-mar-1983,1620
17-mar-1983,1622
19-mar-1983,1607
26-mar-1983,1625
30-mar-1983,1625
3-abr-1983,1645
29-jan-1984,1638
1-fev-1984,1660
8-fev-1984,1654
12-fev-1984,1657
15-fev-1984,1651
19-fev-1984,1664
26-fev-1984,1667
29-fev-1984,1660
11-mar-1984,1658
14-mar-1984,1636
18-mar-1984,1676
21-mar-1984,1659
24-mar-1984,1653
1-abr-1984,1635
27-jan-1985,1660
30-jan-1985,1678
3-fev-1985,1696
6-fev-1985,1701
10-fev-1985,1684
13-fev-1985,1672
24-fev-1985,1695
27-fev-1985,1712
3-mar-1985,1681
6-mar-1985,1707
10-mar-1985,1716
13-mar-1985,1718
16-mar-1985,1696
21-mar-1985,1683
24-mar-1985,1671
27-mar-1985,1691
31-mar-1985,1690
6-abr-1985,1689
10-abr-1985,1705
14-abr-1985,1705
3-jul-1985,1703
7-jul-1985,1706
10-jul-1985,1711
14-jul-1985,1712
17-jul-1985,1721
21-jul-1985,1706
31-ago-1986,1713
2-set-1986,1696
7-set-1986,1724
10-set-1986,1725
14-set-1986,1725
17-set-1986,1718
21-set-1986,1719
24-set-1986,1724
27-set-1986,1728
5-out-1986,1743
12-out-1986,1756
16-out-1986,1746
19-out-1986,1743
26-out-1986,1731
2-nov-1986,1708
5-nov-1986,1718
16-nov-1986,1694
19-nov-1986,1678
23-nov-1986,1694
29-nov-1986,1707
3-dez-1986,1716
7-dez-1986,1716
10-dez-1986,1731
14-dez-1986,1710
25-jan-1987,1705
28-jan-1987,1715
13-set-1987,1731
19-set-1987,1733
24-set-1987,1727
27-set-1987,1747
2-out-1987,1769
7-out-1987,1784
12-out-1987,1765
18-out-1987,1745
24-out-1987,1714
28-out-1987,1701
1-nov-1987,1684
8-nov-1987,1680
11-nov-1987,1698
18-nov-1987,1692
21-nov-1987,1672
29-nov-1987,1676
3-dez-1987,1695
6-dez-1987,1698
13-dez-1987,1686
4-set-1988,1671
7-set-1988,1691
11-set-1988,1687
18-set-1988,1690
24-set-1988,1687
2-out-1988,1698
9-out-1988,1714
16-out-1988,1728
23-out-1988,1743
30-out-1988,1737
6-nov-1988,1763
9-nov-1988,1762
13-nov-1988,1786
17-nov-1988,1760
20-nov-1988,1775
23-nov-1988,1769
27-nov-1988,1768
30-nov-1988,1777
4-dez-1988,1771
8-dez-1988,1750
11-dez-1988,1748
15-dez-1988,1746
18-dez-1988,1758
6-set-1989,1738
10-set-1989,1753
16-set-1989,1767
24-set-1989,1763
30-set-1989,1744
4-out-1989,1739
8-out-1989,1741
14-out-1989,1724
18-out-1989,1736
22-out-1989,1715
2-nov-1989,1702
5-nov-1989,1685
12-nov-1989,1667
18-nov-1989,1665
26-nov-1989,1665
29-nov-1989,1691
2-dez-1989,1679
10-dez-1989,1664
26-ago-1990,1651
30-ago-1990,1639
2-set-1990,1639
9-set-1990,1642
16-set-1990,1631
20-set-1990,1621
23-set-1990,1620
30-set-1990,1623
7-out-1990,1621
11-out-1990,1614
14-out-1990,1597
20-out-1990,1625
24-out-1990,1625
27-out-1990,1628
3-nov-1990,1617
11-nov-1990,1605
14-nov-1990,1623
18-nov-1990,1658
3-fev-1991,1661
6-fev-1991,1673
17-fev-1991,1676
24-fev-1991,1704
3-mar-1991,1703
6-mar-1991,1681
9-mar-1991,1683
17-mar-1991,1669
24-mar-1991,1686
30-mar-1991,1688
3-abr-1991,1710
7-abr-1991,1710
13-abr-1991,1710
21-abr-1991,1713
28-abr-1991,1696
1-mai-1991,1677
5-mai-1991,1679
11-mai-1991,1682
18-mai-1991,1703
27-jan-1992,1691
1-fev-1992,1719
9-fev-1992,1717
17-fev-1992,1732
20-fev-1992,1728
23-fev-1992,1742
8-mar-1992,1760
11-mar-1992,1775
16-mar-1992,1794
23-mar-1992,1788
30-mar-1992,1753
5-abr-1992,1733
13-abr-1992,1728
19-abr-1992,1734
26-abr-1992,1734
2-mai-1992,1716
10-mai-1992,1697
24-mai-1992,1695
31-mai-1992,1675
6-set-1993,1663
11-set-1993,1683
20-set-1993,1688
26-set-1993,1699
29-set-1993,1681
3-out-1993,1705
9-out-1993,1688
12-out-1993,1691
16-out-1993,1703
25-out-1993,1709
30-out-1993,1736
3-nov-1993,1707
12-nov-1993,1711
14-nov-1993,1683
14-ago-1994,1698
17-ago-1994,1692
21-ago-1994,1681
24-ago-1994,1664
28-ago-1994,1680
31-ago-1994,1703
7-set-1994,1695
11-set-1994,1688
18-set-1994,1658
24-set-1994,1623
2-out-1994,1629
9-out-1994,1651
12-out-1994,1665
15-out-1994,1667
23-out-1994,1642
26-out-1994,1650
