date,rating
10-mar-1974,1482
13-mar-1974,1467
17-mar-1974,1443
20-mar-1974,1435
23-mar-1974,1452
30-mar-1974,1430
13-abr-1974,1451
27-abr-1974,1468
4-mai-1974,1449
8-mai-1974,1432
15-mai-1974,1426
18-mai-1974,1415
22-mai-1974,1403
25-mai-1974,1420
30-mai-1974,1396
2-jun-1974,1417
5-jun-1974,1410
8-jun-1974,1389
13-jun-1974,1379
30-set-1979,1407
3-out-1979,1432
6-out-1979,1436
14-out-1979,1439
17-out-1979,1442
20-out-1979,1456
24-out-1979,1441
27-out-1979,1458
4-nov-1979,1445
11-nov-1979,1448
15-nov-1979,1437
18-nov-1979,1426
21-nov-1979,1411
23-nov-1979,1389
25-nov-1979,1379
28-nov-1979,1368
23-fev-1980,1396
27-fev-1980,1384
2-mar-1980,1372
5-mar-1980,1402
8-mar-1980,1390
16-mar-1980,1408
20-mar-1980,1399
30-mar-1980,1374
18-jan-1981,1357
21-jan-1981,1345
25-jan-1981,1375
28-jan-1981,1358
4-fev-1981,1349
7-fev-1981,1343
11-fev-1981,1339
14-fev-1981,1319
21-fev-1981,1312
17-jan-1982,1306
20-jan-1982,1299
24-jan-1982,1290
31-jan-1982,1282
4-fev-1982,1291
10-fev-1982,1285
14-fev-1982,1275
17-fev-1982,1303
