date,rating
23-out-1977,1486
27-out-1977,1473
30-out-1977,1493
6-nov-1977,1495
10-nov-1977,1506
13-nov-1977,1503
16-nov-1977,1499
20-nov-1977,1484
24-nov-1977,1503
7-dez-1977,1534
11-dez-1977,1535
14-dez-1977,1516
18-dez-1977,1526
26-mar-1978,1521
29-mar-1978,1502
2-abr-1978,1494
9-abr-1978,1486
16-abr-1978,1510
20-abr-1978,1511
23-abr-1978,1514
26-abr-1978,1534
3-mai-1978,1535
7-mai-1978,1530
11-mai-1978,1549
14-mai-1978,1564
28-mai-1978,1544
30-mai-1978,1533
4-jun-1978,1536
8-jun-1978,1513
13-jun-1978,1513
18-jun-1978,1502
20-jun-1978,1523
24-jun-1978,1513
25-set-1979,1497
30-set-1979,1517
7-out-1979,1516
11-out-1979,1494
14-out-1979,1504
17-out-1979,1511
20-out-1979,1507
28-out-1979,1505
4-nov-1979,1507
20-ago-1995,1508
23-ago-1995,1499
30-ago-1995,1481
5-set-1995,1487
10-set-1995,1495
13-set-1995,1500
17-set-1995,1486
19-set-1995,1496
24-set-1995,1521
30-set-1995,1542
8-out-1995,1552
12-out-1995,1535
14-out-1995,1544
21-out-1995,1551
29-out-1995,1586
5-nov-1995,1598
9-nov-1995,1601
12-nov-1995,1604
15-nov-1995,1605
22-nov-1995,1632
26-nov-1995,1647
30-nov-1995,1661
3-dez-1995,1678
11-ago-1996,1647
14-ago-1996,1660
18-ago-1996,1658
21-ago-1996,1672
25-ago-1996,1689
1-set-1996,1674
4-set-1996,1681
8-set-1996,1666
15-set-1996,1654
22-set-1996,1674
29-set-1996,1700
5-out-1996,1722
9-out-1996,1734
13-out-1996,1718
16-out-1996,1697
20-out-1996,1674
26-out-1996,1647
2-nov-1996,1627
6-nov-1996,1629
10-nov-1996,1606
16-nov-1996,1589
20-nov-1996,1570
24-nov-1996,1593
6-jul-1997,1599
13-jul-1997,1586
16-jul-1997,1610
20-jul-1997,1609
23-jul-1997,1636
27-jul-1997,1621
2-ago-1997,1598
10-ago-1997,1615
17-ago-1997,1603
20-ago-1997,1606
24-ago-1997,1621
31-ago-1997,1640
7-set-1997,1653
11-set-1997,1675
14-set-1997,1651
17-set-1997,1650
20-set-1997,1650
27-set-1997,1651
1-out-1997,1637
12-out-1997,1652
18-out-1997,1656
26-out-1997,1654
2-nov-1997,1650
5-nov-1997,1660
8-nov-1997,1656
15-nov-1997,1639
22-nov-1997,1621
26-nov-1997,1640
30-nov-1997,1620
3-dez-1997,1639
7-dez-1997,1647
26-jul-1998,1672
2-ago-1998,1641
9-ago-1998,1642
12-ago-1998,1641
16-ago-1998,1644
23-ago-1998,1670
26-ago-1998,1692
30-ago-1998,1688
6-set-1998,1668
9-set-1998,1661
16-set-1998,1651
20-set-1998,1639
24-set-1998,1644
26-set-1998,1631
30-set-1998,1641
3-out-1998,1641
10-out-1998,1629
15-out-1998,1617
18-out-1998,1635
24-out-1998,1633
28-out-1998,1612
4-nov-1998,1628
12-nov-1998,1606
24-jul-1999,1595
31-jul-1999,1602
15-ago-1999,1587
18-ago-1999,1588
21-ago-1999,1593
25-ago-1999,1583
29-ago-1999,1586
5-set-1999,1574
12-set-1999,1592
15-set-1999,1590
19-set-1999,1574
22-set-1999,1590
26-set-1999,1571
29-set-1999,1570
6-out-1999,1546
10-out-1999,1536
17-out-1999,1518
23-out-1999,1543
31-out-1999,1561
7-nov-1999,1568
10-nov-1999,1596
30-jul-2000,1597
6-ago-2000,1603
13-ago-2000,1578
20-ago-2000,1580
23-ago-2000,1586
26-ago-2000,1564
30-ago-2000,1583
6-set-2000,1601
10-set-2000,1616
16-set-2000,1634
20-set-2000,1607
24-set-2000,1597
27-set-2000,1579
30-set-2000,1549
4-out-2000,1537
7-out-2000,1528
12-out-2000,1522
15-out-2000,1513
22-out-2000,1536
5-nov-2000,1570
9-nov-2000,1585
11-nov-2000,1573
15-nov-2000,1577
19-nov-2000,1567
1-ago-2001,1599
4-ago-2001,1574
8-ago-2001,1581
11-ago-2001,1585
15-ago-2001,1584
19-ago-2001,1601
26-ago-2001,1605
29-ago-2001,1611
1-set-2001,1600
9-set-2001,1588
16-set-2001,1589
20-set-2001,1605
23-set-2001,1582
30-set-2001,1563
3-out-2001,1565
6-out-2001,1540
10-out-2001,1545
13-out-2001,1548
21-out-2001,1552
28-out-2001,1543
4-nov-2001,1561
7-nov-2001,1566
10-nov-2001,1601
15-nov-2001,1590
18-nov-2001,1566
25-nov-2001,1584
2-dez-2001,1582
11-ago-2002,1603
15-ago-2002,1604
18-ago-2002,1622
21-ago-2002,1644
25-ago-2002,1628
28-ago-2002,1660
1-set-2002,1678
8-set-2002,1691
12-set-2002,1711
15-set-2002,1729
19-set-2002,1702
22-set-2002,1701
25-set-2002,1685
28-set-2002,1669
2-out-2002,1683
9-out-2002,1678
12-out-2002,1672
16-out-2002,1654
20-out-2002,1678
26-out-2002,1690
31-out-2002,1661
2-nov-2002,1651
10-nov-2002,1664
13-nov-2002,1661
17-nov-2002,1632
30-mar-2003,1640
6-abr-2003,1626
13-abr-2003,1640
16-abr-2003,1616
20-abr-2003,1618
27-abr-2003,1586
4-mai-2003,1587
11-mai-2003,1568
17-mai-2003,1574
24-mai-2003,1556
1-jun-2003,1527
8-jun-2003,1533
15-jun-2003,1553
22-jun-2003,1546
28-jun-2003,1581
6-jul-2003,1583
9-jul-2003,1570
13-jul-2003,1549
16-jul-2003,1538
20-jul-2003,1565
23-jul-2003,1556
27-jul-2003,1572
2-ago-2003,1577
6-ago-2003,1582
9-ago-2003,1572
16-ago-2003,1563
20-ago-2003,1579
24-ago-2003,1556
31-ago-2003,1543
14-set-2003,1527
21-set-2003,1562
24-set-2003,1569
28-set-2003,1608
5-out-2003,1607
8-out-2003,1608
12-out-2003,1610
19-out-2003,1634
23-out-2003,1617
26-out-2003,1619
2-nov-2003,1620
5-nov-2003,1643
9-nov-2003,1629
23-nov-2003,1613
29-nov-2003,1631
7-dez-2003,1651
14-dez-2003,1633
21-abr-2004,1627
24-abr-2004,1628
2-mai-2004,1660
8-mai-2004,1648
16-mai-2004,1649
23-mai-2004,1667
29-mai-2004,1681
13-jun-2004,1656
20-jun-2004,1658
24-jun-2004,1646
27-jun-2004,1657
3-jul-2004,1633
7-jul-2004,1613
10-jul-2004,1630
13-jul-2004,1645
17-jul-2004,1659
20-jul-2004,1672
24-jul-2004,1688
28-jul-2004,1674
1-ago-2004,1674
5-ago-2004,1685
8-ago-2004,1686
11-ago-2004,1697
14-ago-2004,1713
18-ago-2004,1729
22-ago-2004,1728
28-ago-2004,1736
1-set-2004,1722
8-set-2004,1718
11-set-2004,1684
19-set-2004,1665
26-set-2004,1675
29-set-2004,1691
2-out-2004,1707
7-out-2004,1713
17-out-2004,1690
23-out-2004,1705
27-out-2004,1665
30-out-2004,1680
7-nov-2004,1675
14-nov-2004,1658
21-nov-2004,1641
28-nov-2004,1639
5-dez-2004,1655
12-dez-2004,1639
19-dez-2004,1623
24-abr-2005,1627
1-mai-2005,1648
7-mai-2005,1647
15-mai-2005,1670
21-mai-2005,1688
29-mai-2005,1703
11-jun-2005,1688
19-jun-2005,1686
25-jun-2005,1662
3-jul-2005,1669
9-jul-2005,1678
17-jul-2005,1656
21-jul-2005,1669
24-jul-2005,1636
27-jul-2005,1610
31-jul-2005,1629
3-ago-2005,1631
7-ago-2005,1619
11-ago-2005,1608
14-ago-2005,1638
20-ago-2005,1619
24-ago-2005,1640
27-ago-2005,1643
7-set-2005,1670
11-set-2005,1639
17-set-2005,1605
22-set-2005,1607
25-set-2005,1609
1-out-2005,1588
4-out-2005,1573
8-out-2005,1607
12-out-2005,1596
15-out-2005,1577
19-out-2005,1579
22-out-2005,1603
26-out-2005,1602
29-out-2005,1589
2-nov-2005,1614
5-nov-2005,1597
13-nov-2005,1621
16-nov-2005,1611
19-nov-2005,1632
27-nov-2005,1649
4-dez-2005,1626
15-abr-2006,1642
23-abr-2006,1623
30-abr-2006,1628
7-mai-2006,1607
13-mai-2006,1632
21-mai-2006,1647
24-mai-2006,1661
27-mai-2006,1646
31-mai-2006,1627
4-jun-2006,1632
12-jul-2006,1621
16-jul-2006,1655
23-jul-2006,1641
29-jul-2006,1658
5-ago-2006,1640
12-ago-2006,1641
17-ago-2006,1644
20-ago-2006,1614
23-ago-2006,1616
27-ago-2006,1636
30-ago-2006,1652
3-set-2006,1629
10-set-2006,1655
17-set-2006,1668
20-set-2006,1652
24-set-2006,1632
4-out-2006,1649
7-out-2006,1621
14-out-2006,1604
22-out-2006,1603
26-out-2006,1594
1-nov-2006,1616
4-nov-2006,1604
8-nov-2006,1593
11-nov-2006,1599
19-nov-2006,1617
26-nov-2006,1613
3-dez-2006,1596
13-mai-2007,1586
19-mai-2007,1576
27-mai-2007,1562
3-jun-2007,1583
10-jun-2007,1601
17-jun-2007,1584
23-jun-2007,1588
3-jul-2007,1572
7-jul-2007,1603
12-jul-2007,1598
18-jul-2007,1574
21-jul-2007,1606
26-jul-2007,1592
29-jul-2007,1595
2-ago-2007,1586
5-ago-2007,1575
8-ago-2007,1578
11-ago-2007,1553
19-ago-2007,1558
23-ago-2007,1534
26-ago-2007,1517
29-ago-2007,1550
1-set-2007,1565
5-set-2007,1589
8-set-2007,1580
16-set-2007,1557
23-set-2007,1563
30-set-2007,1555
3-out-2007,1576
6-out-2007,1557
12-out-2007,1561
21-out-2007,1544
28-out-2007,1546
1-nov-2007,1569
7-nov-2007,1608
11-nov-2007,1587
24-nov-2007,1577
2-dez-2007,1596
