date,rating
6-out-1979,1482
10-out-1979,1464
14-out-1979,1439
17-out-1979,1457
21-out-1979,1483
24-out-1979,1504
28-out-1979,1488
1-nov-1979,1503
4-nov-1979,1516
8-nov-1979,1515
10-nov-1979,1498
15-nov-1979,1498
18-nov-1979,1483
22-nov-1979,1507
25-nov-1979,1506
29-nov-1979,1500
27-jan-1985,1500
30-jan-1985,1485
3-fev-1985,1504
6-fev-1985,1520
10-fev-1985,1518
13-fev-1985,1530
24-fev-1985,1499
27-fev-1985,1522
3-mar-1985,1538
6-mar-1985,1510
10-mar-1985,1500
17-mar-1985,1486
20-mar-1985,1478
24-mar-1985,1469
27-mar-1985,1446
31-mar-1985,1429
3-abr-1985,1446
7-abr-1985,1460
10-abr-1985,1428
14-abr-1985,1414
17-abr-1985,1415
21-abr-1985,1409
