date,rating
26-ago-1973,1477
29-ago-1973,1453
2-set-1973,1440
5-set-1973,1426
9-set-1973,1430
12-set-1973,1436
16-set-1973,1436
23-set-1973,1424
26-set-1973,1428
30-set-1973,1400
3-out-1973,1387
7-out-1973,1372
13-out-1973,1392
17-out-1973,1382
21-out-1973,1380
24-out-1973,1369
27-out-1973,1374
31-out-1973,1381
4-nov-1973,1378
11-nov-1973,1359
14-nov-1973,1361
17-nov-1973,1366
25-nov-1973,1365
28-nov-1973,1370
2-dez-1973,1348
8-dez-1973,1335
12-dez-1973,1324
15-dez-1973,1312
20-ago-1975,1332
24-ago-1975,1315
31-ago-1975,1321
3-set-1975,1309
7-set-1975,1297
14-set-1975,1285
21-set-1975,1289
24-set-1975,1285
28-set-1975,1278
5-out-1975,1271
19-out-1975,1266
26-out-1975,1260
29-out-1975,1267
5-nov-1975,1259
26-mar-1978,1251
2-abr-1978,1280
6-abr-1978,1292
9-abr-1978,1315
12-abr-1978,1315
16-abr-1978,1317
27-abr-1978,1321
4-mai-1978,1349
7-mai-1978,1333
11-mai-1978,1340
14-mai-1978,1335
21-mai-1978,1325
28-mai-1978,1347
31-mai-1978,1330
4-jun-1978,1331
24-jun-1978,1307
16-set-1979,1294
23-set-1979,1302
3-out-1979,1324
6-out-1979,1311
11-out-1979,1292
17-out-1979,1327
24-out-1979,1350
28-out-1979,1335
3-nov-1979,1327
17-jan-1982,1330
20-jan-1982,1325
24-jan-1982,1321
31-jan-1982,1325
3-fev-1982,1324
10-fev-1982,1342
14-fev-1982,1345
17-fev-1982,1371
28-fev-1982,1392
7-mar-1982,1384
10-mar-1982,1372
14-mar-1982,1364
17-mar-1982,1355
24-mar-1982,1343
23-jan-1983,1345
26-jan-1983,1339
30-jan-1983,1352
6-fev-1983,1352
9-fev-1983,1348
23-fev-1983,1332
27-fev-1983,1318
6-mar-1983,1330
29-jan-1984,1318
5-fev-1984,1313
8-fev-1984,1308
12-fev-1984,1318
15-fev-1984,1330
19-fev-1984,1320
22-fev-1984,1345
29-fev-1984,1337
