date,rating
10-set-1972,1485
13-set-1972,1485
17-set-1972,1462
20-set-1972,1462
24-set-1972,1491
27-set-1972,1477
1-out-1972,1481
4-out-1972,1484
8-out-1972,1502
11-out-1972,1505
15-out-1972,1487
18-out-1972,1472
22-out-1972,1485
25-out-1972,1481
29-out-1972,1470
1-nov-1972,1470
5-nov-1972,1475
8-nov-1972,1480
12-nov-1972,1474
16-nov-1972,1460
19-nov-1972,1446
22-nov-1972,1430
26-nov-1972,1413
29-nov-1972,1436
3-dez-1972,1424
26-ago-1973,1427
30-ago-1973,1435
2-set-1973,1438
5-set-1973,1433
8-set-1973,1424
12-set-1973,1436
16-set-1973,1452
23-set-1973,1459
26-set-1973,1459
29-set-1973,1475
3-out-1973,1476
7-out-1973,1481
14-out-1973,1483
17-out-1973,1473
21-out-1973,1474
24-out-1973,1485
27-out-1973,1491
31-out-1973,1493
4-nov-1973,1493
11-nov-1973,1472
14-nov-1973,1489
18-nov-1973,1490
25-nov-1973,1510
2-dez-1973,1534
5-dez-1973,1511
8-dez-1973,1487
12-dez-1973,1473
16-dez-1973,1442
10-mar-1974,1437
14-mar-1974,1439
17-mar-1974,1438
23-mar-1974,1453
27-mar-1974,1479
3-abr-1974,1478
6-abr-1974,1462
13-abr-1974,1452
17-abr-1974,1425
24-abr-1974,1446
28-abr-1974,1440
4-mai-1974,1428
8-mai-1974,1451
18-mai-1974,1453
26-mai-1974,1480
1-jun-1974,1458
5-jun-1974,1447
9-jun-1974,1435
13-jun-1974,1416
30-jun-1974,1438
3-jul-1974,1445
6-jul-1974,1451
14-jul-1974,1438
17-jul-1974,1425
24-ago-1975,1427
31-ago-1975,1408
7-set-1975,1412
10-set-1975,1418
14-set-1975,1407
17-set-1975,1386
21-set-1975,1382
24-set-1975,1388
28-set-1975,1398
1-out-1975,1421
26-out-1975,1450
30-out-1975,1451
2-nov-1975,1468
9-nov-1975,1466
12-nov-1975,1452
15-nov-1975,1438
20-nov-1975,1431
23-nov-1975,1424
26-nov-1975,1413
30-nov-1975,1406
4-dez-1975,1389
2-set-1976,1366
7-set-1976,1383
12-set-1976,1403
15-set-1976,1410
19-set-1976,1432
22-set-1976,1440
25-set-1976,1429
30-set-1976,1427
10-out-1976,1425
13-out-1976,1402
17-out-1976,1386
23-out-1976,1388
16-out-1977,1418
23-out-1977,1435
26-out-1977,1433
30-out-1977,1426
10-nov-1977,1418
13-nov-1977,1406
16-nov-1977,1393
24-nov-1977,1409
27-nov-1977,1394
4-dez-1977,1380
7-dez-1977,1365
11-dez-1977,1353
18-dez-1977,1355
2-abr-1978,1348
6-abr-1978,1342
9-abr-1978,1334
16-abr-1978,1319
20-abr-1978,1311
23-abr-1978,1295
27-abr-1978,1293
30-abr-1978,1279
3-mai-1978,1285
7-mai-1978,1307
14-mai-1978,1300
21-mai-1978,1291
25-mai-1978,1275
28-mai-1978,1266
13-jun-1978,1274
17-jun-1978,1256
30-set-1979,1269
3-out-1979,1276
6-out-1979,1265
11-out-1979,1260
14-out-1979,1287
18-out-1979,1283
20-out-1979,1274
27-out-1979,1282
4-nov-1979,1272
24-fev-1980,1268
27-fev-1980,1302
2-mar-1980,1309
5-mar-1980,1308
12-mar-1980,1313
16-mar-1980,1324
19-mar-1980,1318
23-mar-1980,1309
30-mar-1980,1305
18-jan-1981,1332
21-jan-1981,1329
24-jan-1981,1334
28-jan-1981,1351
1-fev-1981,1360
4-fev-1981,1362
7-fev-1981,1381
14-fev-1981,1374
21-fev-1981,1393
7-mar-1981,1384
12-mar-1981,1380
15-mar-1981,1401
21-mar-1981,1435
28-mar-1981,1432
4-abr-1981,1413
20-jan-1982,1412
24-jan-1982,1423
28-jan-1982,1420
31-jan-1982,1416
3-fev-1982,1409
7-fev-1982,1404
10-fev-1982,1386
17-fev-1982,1386
1-fev-1984,1389
5-fev-1984,1383
8-fev-1984,1395
11-fev-1984,1379
15-fev-1984,1375
18-fev-1984,1387
22-fev-1984,1388
29-fev-1984,1376
27-jan-1985,1360
31-jan-1985,1341
3-fev-1985,1365
6-fev-1985,1399
10-fev-1985,1373
13-fev-1985,1385
24-fev-1985,1372
27-fev-1985,1355
3-mar-1985,1384
7-mar-1985,1380
10-mar-1985,1385
17-mar-1985,1410
20-mar-1985,1429
24-mar-1985,1420
27-mar-1985,1444
31-mar-1985,1427
3-abr-1985,1420
7-abr-1985,1421
10-abr-1985,1438
14-abr-1985,1461
17-abr-1985,1470
21-abr-1985,1485
31-ago-1986,1501
4-set-1986,1501
10-set-1986,1506
14-set-1986,1494
17-set-1986,1503
21-set-1986,1484
24-set-1986,1507
1-out-1986,1532
5-out-1986,1533
7-out-1986,1517
15-out-1986,1532
19-out-1986,1526
22-out-1986,1510
26-out-1986,1499
29-out-1986,1517
2-nov-1986,1540
5-nov-1986,1530
19-nov-1986,1527
23-nov-1986,1528
27-nov-1986,1521
29-nov-1986,1546
3-dez-1986,1537
7-dez-1986,1509
10-dez-1986,1491
25-jan-1987,1483
28-jan-1987,1471
