date,rating
26-ago-1973,1500
29-ago-1973,1484
5-set-1973,1468
8-set-1973,1444
12-set-1973,1446
15-set-1973,1431
21-set-1973,1425
26-set-1973,1412
30-set-1973,1415
4-out-1973,1422
7-out-1973,1401
13-out-1973,1430
17-out-1973,1429
21-out-1973,1450
24-out-1973,1436
27-out-1973,1457
1-nov-1973,1460
4-nov-1973,1484
7-nov-1973,1506
10-nov-1973,1509
14-nov-1973,1511
17-nov-1973,1494
25-nov-1973,1492
29-nov-1973,1508
2-dez-1973,1507
7-dez-1973,1526
12-dez-1973,1509
15-dez-1973,1497
10-mar-1974,1487
13-mar-1974,1488
16-mar-1974,1492
20-mar-1974,1478
23-mar-1974,1492
10-abr-1974,1475
13-abr-1974,1473
20-abr-1974,1445
27-abr-1974,1450
4-mai-1974,1457
8-mai-1974,1463
15-mai-1974,1439
18-mai-1974,1460
22-mai-1974,1484
25-mai-1974,1469
30-mai-1974,1493
2-jun-1974,1468
8-jun-1974,1452
13-jun-1974,1465
