date,rating
10-mar-1974,1515
13-mar-1974,1539
17-mar-1974,1535
23-mar-1974,1505
27-mar-1974,1479
30-mar-1974,1494
6-abr-1974,1484
13-abr-1974,1481
20-abr-1974,1471
23-abr-1974,1460
27-abr-1974,1478
4-mai-1974,1504
8-mai-1974,1500
18-mai-1974,1502
25-mai-1974,1508
2-jun-1974,1506
5-jun-1974,1528
9-jun-1974,1540
13-jun-1974,1557
29-jun-1974,1533
3-jul-1974,1517
6-jul-1974,1500
11-jul-1974,1503
14-jul-1974,1516
1-set-1976,1515
5-set-1976,1519
8-set-1976,1523
16-set-1976,1539
19-set-1976,1538
22-set-1976,1533
26-set-1976,1530
29-set-1976,1545
10-out-1976,1569
13-out-1976,1558
16-out-1976,1579
20-out-1976,1560
24-out-1976,1547
16-out-1977,1557
23-out-1977,1540
27-out-1977,1553
7-nov-1977,1570
10-nov-1977,1589
17-nov-1977,1573
20-nov-1977,1582
23-nov-1977,1579
27-nov-1977,1584
1-dez-1977,1584
4-dez-1977,1604
7-dez-1977,1605
18-dez-1977,1615
1-fev-1978,1617
15-fev-1978,1631
18-fev-1978,1653
20-fev-1978,1626
22-fev-1978,1655
26-mar-1978,1621
2-abr-1978,1616
6-abr-1978,1623
9-abr-1978,1600
12-abr-1978,1614
20-abr-1978,1628
23-abr-1978,1621
26-abr-1978,1628
30-abr-1978,1640
4-mai-1978,1636
7-mai-1978,1641
21-mai-1978,1610
28-mai-1978,1630
30-mai-1978,1603
4-jun-1978,1624
10-jun-1978,1622
13-jun-1978,1628
21-jun-1978,1617
24-jun-1978,1626
2-jul-1978,1638
5-jul-1978,1646
9-jul-1978,1662
13-jul-1978,1661
16-jul-1978,1645
20-jul-1978,1618
23-jul-1978,1624
23-set-1979,1634
26-set-1979,1644
3-out-1979,1630
6-out-1979,1603
14-out-1979,1597
17-out-1979,1619
24-out-1979,1634
28-out-1979,1612
31-out-1979,1621
8-nov-1979,1638
11-nov-1979,1632
15-nov-1979,1656
18-nov-1979,1672
22-nov-1979,1666
25-nov-1979,1672
28-nov-1979,1700
4-dez-1979,1713
6-dez-1979,1721
8-dez-1979,1699
24-fev-1980,1700
27-fev-1980,1666
2-mar-1980,1645
5-mar-1980,1633
9-mar-1980,1646
16-mar-1980,1657
19-mar-1980,1661
23-mar-1980,1624
30-mar-1980,1636
18-jan-1981,1631
21-jan-1981,1618
25-jan-1981,1632
28-jan-1981,1610
1-fev-1981,1627
4-fev-1981,1637
7-fev-1981,1646
14-fev-1981,1633
21-fev-1981,1653
7-mar-1981,1661
12-mar-1981,1674
15-mar-1981,1697
19-mar-1981,1676
28-mar-1981,1687
4-abr-1981,1706
20-jan-1982,1711
24-jan-1982,1691
28-jan-1982,1703
31-jan-1982,1698
3-fev-1982,1664
7-fev-1982,1679
10-fev-1982,1676
17-fev-1982,1685
28-fev-1982,1662
6-mar-1982,1696
11-mar-1982,1707
14-mar-1982,1686
17-mar-1982,1677
25-mar-1982,1690
29-jan-1984,1696
5-fev-1984,1698
8-fev-1984,1687
12-fev-1984,1704
16-fev-1984,1708
19-fev-1984,1713
22-fev-1984,1694
29-fev-1984,1696
11-mar-1984,1707
14-mar-1984,1697
18-mar-1984,1708
21-mar-1984,1713
25-mar-1984,1693
1-abr-1984,1664
7-abr-1984,1664
11-abr-1984,1665
15-abr-1984,1663
18-abr-1984,1643
22-abr-1984,1656
25-abr-1984,1640
2-set-1986,1630
7-set-1986,1603
11-set-1986,1610
14-set-1986,1595
21-set-1986,1579
24-set-1986,1579
30-set-1986,1570
2-out-1986,1596
5-out-1986,1581
7-out-1986,1594
