date,rating
25-ago-1973,1521
29-ago-1973,1520
2-set-1973,1495
5-set-1973,1474
9-set-1973,1470
12-set-1973,1459
16-set-1973,1443
23-set-1973,1424
26-set-1973,1416
30-set-1973,1393
3-out-1973,1386
7-out-1973,1375
13-out-1973,1365
17-out-1973,1353
21-out-1973,1354
24-out-1973,1347
27-out-1973,1354
31-out-1973,1340
3-nov-1973,1329
11-nov-1973,1366
14-nov-1973,1351
17-nov-1973,1353
25-nov-1973,1353
29-nov-1973,1357
1-dez-1973,1336
8-dez-1973,1368
12-dez-1973,1370
16-dez-1973,1348
9-mar-1974,1340
13-mar-1974,1377
17-mar-1974,1366
23-mar-1974,1375
30-mar-1974,1385
6-abr-1974,1391
13-abr-1974,1393
20-abr-1974,1420
24-abr-1974,1410
2-mai-1974,1390
8-mai-1974,1394
11-mai-1974,1417
15-mai-1974,1425
18-mai-1974,1426
25-mai-1974,1440
29-mai-1974,1441
2-jun-1974,1430
8-jun-1974,1451
12-jun-1974,1464
29-jun-1974,1467
3-jul-1974,1454
6-jul-1974,1447
14-jul-1974,1437
17-jul-1974,1419
20-ago-1975,1400
23-ago-1975,1389
26-ago-1975,1377
3-set-1975,1383
7-set-1975,1368
14-set-1975,1402
17-set-1975,1425
21-set-1975,1426
28-set-1975,1433
1-out-1975,1442
23-out-1975,1430
30-out-1975,1418
2-nov-1975,1435
9-nov-1975,1436
2-set-1976,1459
7-set-1976,1440
11-set-1976,1421
15-set-1976,1424
19-set-1976,1432
22-set-1976,1406
25-set-1976,1420
30-set-1976,1409
9-out-1976,1389
14-out-1976,1413
20-out-1976,1428
23-out-1976,1426
16-out-1977,1407
19-out-1977,1393
23-out-1977,1386
26-out-1977,1388
29-out-1977,1407
2-nov-1977,1401
6-nov-1977,1405
23-nov-1977,1428
27-nov-1977,1452
1-dez-1977,1424
4-dez-1977,1408
14-dez-1977,1413
18-dez-1977,1410
26-mar-1978,1418
6-abr-1978,1449
12-abr-1978,1441
16-abr-1978,1457
19-abr-1978,1457
23-abr-1978,1463
30-abr-1978,1463
4-mai-1978,1455
7-mai-1978,1430
10-mai-1978,1436
14-mai-1978,1406
21-mai-1978,1392
27-mai-1978,1395
4-jun-1978,1396
13-jun-1978,1399
17-jun-1978,1417
22-set-1979,1398
25-set-1979,1371
3-out-1979,1362
13-out-1979,1382
17-out-1979,1411
21-out-1979,1408
25-out-1979,1407
1-nov-1979,1390
4-nov-1979,1371
17-jan-1981,1362
21-jan-1981,1355
25-jan-1981,1404
28-jan-1981,1395
1-fev-1981,1396
4-fev-1981,1395
7-fev-1981,1420
14-fev-1981,1440
21-fev-1981,1425
7-mar-1981,1429
11-mar-1981,1437
15-mar-1981,1419
21-mar-1981,1409
28-mar-1981,1418
4-abr-1981,1403
17-jan-1982,1400
20-jan-1982,1401
28-jan-1982,1412
31-jan-1982,1408
7-fev-1982,1400
10-fev-1982,1396
14-fev-1982,1394
17-fev-1982,1394
28-fev-1982,1386
7-mar-1982,1410
11-mar-1982,1413
14-mar-1982,1403
17-mar-1982,1407
25-mar-1982,1397
23-jan-1983,1395
26-jan-1983,1376
3-fev-1983,1372
6-fev-1983,1369
19-fev-1983,1362
23-fev-1983,1360
27-fev-1983,1373
6-mar-1983,1397
27-jan-1985,1399
30-jan-1985,1406
2-fev-1985,1401
7-fev-1985,1405
10-fev-1985,1431
13-fev-1985,1431
24-fev-1985,1448
27-fev-1985,1443
3-mar-1985,1438
6-mar-1985,1425
10-mar-1985,1435
17-mar-1985,1419
20-mar-1985,1410
24-mar-1985,1401
27-mar-1985,1406
31-mar-1985,1422
3-abr-1985,1423
7-abr-1985,1451
10-abr-1985,1458
13-abr-1985,1471
17-abr-1985,1474
21-abr-1985,1481
2-set-1986,1471
4-set-1986,1465
7-set-1986,1490
11-set-1986,1495
14-set-1986,1487
17-set-1986,1474
21-set-1986,1464
27-set-1986,1446
3-out-1986,1426
8-out-1986,1404
26-jan-1992,1430
2-fev-1992,1425
9-fev-1992,1449
16-fev-1992,1442
20-fev-1992,1437
23-fev-1992,1446
8-mar-1992,1432
11-mar-1992,1456
15-mar-1992,1443
21-mar-1992,1438
29-mar-1992,1433
4-abr-1992,1428
12-abr-1992,1469
19-abr-1992,1463
26-abr-1992,1449
3-mai-1992,1439
10-mai-1992,1432
23-mai-1992,1479
31-mai-1992,1488
7-set-1993,1469
11-set-1993,1487
15-set-1993,1490
18-set-1993,1493
22-set-1993,1524
26-set-1993,1539
29-set-1993,1515
6-out-1993,1514
11-out-1993,1529
14-out-1993,1545
16-out-1993,1546
20-out-1993,1546
24-out-1993,1555
27-out-1993,1532
14-ago-1994,1542
18-ago-1994,1563
21-ago-1994,1586
24-ago-1994,1589
28-ago-1994,1619
1-set-1994,1597
4-set-1994,1578
7-set-1994,1554
18-set-1994,1581
24-set-1994,1604
5-out-1994,1624
9-out-1994,1601
12-out-1994,1588
19-out-1994,1608
23-out-1994,1607
26-out-1994,1615
29-out-1994,1608
2-nov-1994,1600
6-nov-1994,1582
10-nov-1994,1585
13-nov-1994,1589
16-nov-1994,1578
20-nov-1994,1559
23-nov-1994,1547
27-nov-1994,1572
23-ago-1995,1560
27-ago-1995,1563
30-ago-1995,1581
3-set-1995,1583
6-set-1995,1612
17-set-1995,1591
20-set-1995,1585
24-set-1995,1588
1-out-1995,1594
4-out-1995,1583
8-out-1995,1568
11-out-1995,1547
14-out-1995,1552
22-out-1995,1528
29-out-1995,1527
5-nov-1995,1531
12-nov-1995,1538
15-nov-1995,1545
19-nov-1995,1535
22-nov-1995,1558
25-nov-1995,1552
27-nov-1995,1536
3-dez-1995,1525
10-ago-2002,1516
21-ago-2002,1505
24-ago-2002,1525
1-set-2002,1505
4-set-2002,1495
8-set-2002,1481
11-set-2002,1517
15-set-2002,1501
18-set-2002,1509
22-set-2002,1532
26-set-2002,1516
29-set-2002,1557
2-out-2002,1541
5-out-2002,1524
9-out-2002,1543
13-out-2002,1530
16-out-2002,1558
20-out-2002,1551
23-out-2002,1572
30-out-2002,1562
2-nov-2002,1578
6-nov-2002,1567
9-nov-2002,1587
13-nov-2002,1590
17-nov-2002,1568
30-mar-2003,1573
6-abr-2003,1562
9-abr-2003,1582
12-abr-2003,1558
20-abr-2003,1563
27-abr-2003,1605
4-mai-2003,1592
11-mai-2003,1595
18-mai-2003,1575
25-mai-2003,1555
31-mai-2003,1544
8-jun-2003,1580
15-jun-2003,1590
22-jun-2003,1593
29-jun-2003,1571
5-jul-2003,1562
9-jul-2003,1580
12-jul-2003,1607
17-jul-2003,1608
20-jul-2003,1581
23-jul-2003,1622
26-jul-2003,1623
3-ago-2003,1657
6-ago-2003,1655
10-ago-2003,1655
17-ago-2003,1656
20-ago-2003,1639
24-ago-2003,1653
30-ago-2003,1644
14-set-2003,1662
20-set-2003,1658
24-set-2003,1682
28-set-2003,1670
4-out-2003,1670
9-out-2003,1645
15-out-2003,1666
18-out-2003,1640
23-out-2003,1669
26-out-2003,1687
2-nov-2003,1649
5-nov-2003,1631
8-nov-2003,1604
23-nov-2003,1620
30-nov-2003,1614
7-dez-2003,1598
14-dez-2003,1601
22-abr-2004,1601
25-abr-2004,1585
28-abr-2004,1562
1-mai-2004,1552
9-mai-2004,1549
15-mai-2004,1535
22-mai-2004,1520
29-mai-2004,1528
13-jun-2004,1523
20-jun-2004,1547
27-jun-2004,1576
4-jul-2004,1552
7-jul-2004,1559
10-jul-2004,1550
13-jul-2004,1582
17-jul-2004,1586
20-jul-2004,1607
24-jul-2004,1583
28-jul-2004,1585
1-ago-2004,1571
4-ago-2004,1591
8-ago-2004,1589
11-ago-2004,1578
15-ago-2004,1580
18-ago-2004,1599
22-ago-2004,1586
28-ago-2004,1603
2-set-2004,1626
7-set-2004,1642
12-set-2004,1639
19-set-2004,1664
25-set-2004,1687
28-set-2004,1654
2-out-2004,1618
7-out-2004,1619
17-out-2004,1602
23-out-2004,1631
27-out-2004,1600
30-out-2004,1603
6-nov-2004,1594
14-nov-2004,1595
21-nov-2004,1579
28-nov-2004,1587
4-dez-2004,1589
11-dez-2004,1614
19-dez-2004,1630
24-abr-2005,1618
1-mai-2005,1606
7-mai-2005,1581
15-mai-2005,1602
21-mai-2005,1584
28-mai-2005,1605
12-jun-2005,1611
18-jun-2005,1611
26-jun-2005,1630
2-jul-2005,1610
9-jul-2005,1595
16-jul-2005,1582
21-jul-2005,1574
24-jul-2005,1565
28-jul-2005,1565
31-jul-2005,1556
3-ago-2005,1558
6-ago-2005,1542
10-ago-2005,1521
13-ago-2005,1543
21-ago-2005,1531
24-ago-2005,1526
28-ago-2005,1511
7-set-2005,1514
10-set-2005,1534
17-set-2005,1568
21-set-2005,1551
24-set-2005,1538
1-out-2005,1567
5-out-2005,1555
11-out-2005,1574
15-out-2005,1591
19-out-2005,1625
22-out-2005,1611
27-out-2005,1601
31-out-2005,1593
3-nov-2005,1607
6-nov-2005,1589
12-nov-2005,1565
17-nov-2005,1593
20-nov-2005,1569
27-nov-2005,1561
4-dez-2005,1543
