date,rating
1-set-1976,1506
12-set-1976,1486
15-set-1976,1483
19-set-1976,1501
23-set-1976,1483
26-set-1976,1487
29-set-1976,1484
3-out-1976,1489
9-out-1976,1510
13-out-1976,1532
17-out-1976,1511
20-out-1976,1507
30-out-1976,1525
7-nov-1976,1545
10-nov-1976,1562
14-nov-1976,1588
18-nov-1976,1571
21-nov-1976,1592
24-nov-1976,1583
28-nov-1976,1566
16-out-1977,1576
19-out-1977,1569
23-out-1977,1548
26-out-1977,1561
30-out-1977,1582
2-nov-1977,1596
13-nov-1977,1614
17-nov-1977,1611
20-nov-1977,1626
23-nov-1977,1644
4-dez-1977,1661
8-dez-1977,1676
11-dez-1977,1674
18-dez-1977,1653
29-jan-1978,1675
1-fev-1978,1654
12-fev-1978,1640
15-fev-1978,1649
19-fev-1978,1628
26-mar-1978,1629
29-mar-1978,1646
2-abr-1978,1650
9-abr-1978,1629
12-abr-1978,1642
16-abr-1978,1630
23-abr-1978,1614
27-abr-1978,1622
30-abr-1978,1627
7-mai-1978,1622
11-mai-1978,1636
21-mai-1978,1646
28-mai-1978,1650
31-mai-1978,1645
7-jun-1978,1640
10-jun-1978,1631
13-jun-1978,1659
18-jun-1978,1638
24-jun-1978,1627
2-jul-1978,1620
5-jul-1978,1620
9-jul-1978,1620
13-jul-1978,1622
16-jul-1978,1629
20-jul-1978,1656
23-jul-1978,1668
24-fev-1980,1678
2-mar-1980,1670
5-mar-1980,1651
16-mar-1980,1642
19-mar-1980,1655
23-mar-1980,1672
26-mar-1980,1648
30-mar-1980,1651
5-abr-1980,1680
13-abr-1980,1690
16-abr-1980,1697
20-abr-1980,1684
27-abr-1980,1691
3-mai-1980,1658
10-mai-1980,1634
14-mai-1980,1640
18-mai-1980,1620
18-jan-1981,1610
21-jan-1981,1630
25-jan-1981,1590
28-jan-1981,1614
1-fev-1981,1627
4-fev-1981,1645
7-fev-1981,1653
14-fev-1981,1662
21-fev-1981,1659
7-mar-1981,1659
11-mar-1981,1656
15-mar-1981,1671
21-mar-1981,1696
28-mar-1981,1706
4-abr-1981,1702
17-jan-1982,1713
20-jan-1982,1706
24-jan-1982,1710
31-jan-1982,1719
3-fev-1982,1721
10-fev-1982,1728
14-fev-1982,1724
17-fev-1982,1734
28-fev-1982,1741
7-mar-1982,1726
11-mar-1982,1717
14-mar-1982,1735
17-mar-1982,1725
25-mar-1982,1703
23-jan-1983,1710
27-jan-1983,1674
30-jan-1983,1654
2-fev-1983,1647
10-fev-1983,1662
19-fev-1983,1665
27-fev-1983,1679
7-mar-1983,1690
13-mar-1983,1662
17-mar-1983,1660
19-mar-1983,1662
26-mar-1983,1645
30-mar-1983,1624
3-abr-1983,1640
26-jan-1985,1647
30-jan-1985,1663
2-fev-1985,1670
6-fev-1985,1659
10-fev-1985,1668
13-fev-1985,1637
24-fev-1985,1648
28-fev-1985,1661
3-mar-1985,1659
6-mar-1985,1669
10-mar-1985,1661
17-mar-1985,1671
20-mar-1985,1679
24-mar-1985,1692
27-mar-1985,1682
30-mar-1985,1692
3-abr-1985,1685
7-abr-1985,1662
10-abr-1985,1657
14-abr-1985,1657
17-abr-1985,1667
21-abr-1985,1660
3-jul-1985,1664
7-jul-1985,1659
10-jul-1985,1661
14-jul-1985,1676
17-jul-1985,1677
21-jul-1985,1666
31-ago-1986,1671
2-set-1986,1682
7-set-1986,1683
11-set-1986,1670
14-set-1986,1678
18-set-1986,1641
21-set-1986,1613
25-set-1986,1628
1-out-1986,1658
5-out-1986,1680
12-out-1986,1663
15-out-1986,1665
19-out-1986,1666
22-out-1986,1643
24-out-1986,1645
29-out-1986,1664
2-nov-1986,1646
6-nov-1986,1658
23-nov-1986,1640
26-nov-1986,1636
29-nov-1986,1619
3-dez-1986,1645
10-dez-1986,1625
13-dez-1986,1618
25-jan-1987,1604
28-jan-1987,1607
26-jul-1998,1588
2-ago-1998,1595
5-ago-1998,1576
9-ago-1998,1577
12-ago-1998,1567
19-ago-1998,1593
26-ago-1998,1578
30-ago-1998,1582
2-set-1998,1564
6-set-1998,1584
13-set-1998,1573
19-set-1998,1566
24-set-1998,1555
27-set-1998,1548
30-set-1998,1538
3-out-1998,1560
7-out-1998,1584
10-out-1998,1611
18-out-1998,1626
21-out-1998,1612
24-out-1998,1606
1-nov-1998,1617
12-nov-1998,1622
25-jul-1999,1610
31-jul-1999,1640
7-ago-1999,1641
18-ago-1999,1641
22-ago-1999,1654
25-ago-1999,1666
28-ago-1999,1653
5-set-1999,1666
11-set-1999,1651
16-set-1999,1676
19-set-1999,1675
25-set-1999,1680
29-set-1999,1664
2-out-1999,1688
9-out-1999,1710
17-out-1999,1728
24-out-1999,1740
31-out-1999,1720
3-nov-1999,1704
7-nov-1999,1722
10-nov-1999,1715
2-ago-2000,1727
6-ago-2000,1721
20-ago-2000,1708
23-ago-2000,1724
27-ago-2000,1739
2-set-2000,1732
7-set-2000,1746
10-set-2000,1716
13-set-2000,1719
16-set-2000,1688
