date,rating
1-set-1976,1480
7-set-1976,1461
15-set-1976,1460
19-set-1976,1452
22-set-1976,1444
25-set-1976,1425
29-set-1976,1420
2-out-1976,1403
10-out-1976,1408
14-out-1976,1406
17-out-1976,1419
20-out-1976,1435
26-mar-1978,1439
2-abr-1978,1438
6-abr-1978,1456
9-abr-1978,1426
12-abr-1978,1412
16-abr-1978,1400
20-abr-1978,1385
23-abr-1978,1393
26-abr-1978,1381
4-mai-1978,1375
10-mai-1978,1351
28-mai-1978,1339
4-jun-1978,1342
17-jun-1978,1363
20-jun-1978,1366
24-jun-1978,1352
23-set-1979,1342
30-set-1979,1355
3-out-1979,1358
6-out-1979,1395
10-out-1979,1387
20-out-1979,1394
25-out-1979,1398
28-out-1979,1394
4-nov-1979,1405
26-jan-1983,1395
30-jan-1983,1400
2-fev-1983,1417
6-fev-1983,1409
9-fev-1983,1397
19-fev-1983,1376
23-fev-1983,1370
6-mar-1983,1360
29-jan-1984,1353
4-fev-1984,1388
8-fev-1984,1407
12-fev-1984,1430
15-fev-1984,1411
19-fev-1984,1391
23-fev-1984,1379
29-fev-1984,1370
2-mar-1984,1364
31-ago-1986,1355
2-set-1986,1381
7-set-1986,1392
10-set-1986,1403
14-set-1986,1405
17-set-1986,1435
21-set-1986,1459
27-set-1986,1467
2-out-1986,1488
5-out-1986,1506
12-out-1986,1500
15-out-1986,1486
19-out-1986,1466
26-out-1986,1468
29-out-1986,1491
2-nov-1986,1476
9-nov-1986,1470
16-nov-1986,1494
23-nov-1986,1508
26-nov-1986,1515
3-dez-1986,1509
7-dez-1986,1537
10-dez-1986,1522
14-dez-1986,1551
25-jan-1987,1552
28-jan-1987,1543
19-set-1987,1528
24-set-1987,1543
27-set-1987,1544
4-out-1987,1535
7-out-1987,1525
11-out-1987,1540
14-out-1987,1542
21-out-1987,1543
25-out-1987,1545
28-out-1987,1524
1-nov-1987,1525
7-nov-1987,1532
11-nov-1987,1525
25-nov-1987,1546
