date,rating
7-ago-1971,1473
12-ago-1971,1489
15-ago-1971,1489
22-ago-1971,1474
25-ago-1971,1474
29-ago-1971,1475
1-set-1971,1495
8-set-1971,1510
11-set-1971,1509
19-set-1971,1511
25-set-1971,1513
3-out-1971,1486
6-out-1971,1489
9-out-1971,1485
17-out-1971,1486
24-out-1971,1482
30-out-1971,1461
7-nov-1971,1449
14-nov-1971,1453
10-set-1972,1455
13-set-1972,1470
17-set-1972,1472
20-set-1972,1472
23-set-1972,1451
28-set-1972,1478
1-out-1972,1503
5-out-1972,1505
8-out-1972,1491
11-out-1972,1478
15-out-1972,1479
18-out-1972,1494
22-out-1972,1468
25-out-1972,1469
29-out-1972,1458
1-nov-1972,1455
5-nov-1972,1474
8-nov-1972,1489
12-nov-1972,1461
16-nov-1972,1462
19-nov-1972,1446
22-nov-1972,1438
26-nov-1972,1440
30-nov-1972,1431
3-dez-1972,1462
9-dez-1972,1448
13-dez-1972,1425
17-dez-1972,1446
26-ago-1973,1425
29-ago-1973,1427
2-set-1973,1454
5-set-1973,1440
9-set-1973,1441
13-set-1973,1459
16-set-1973,1462
23-set-1973,1478
26-set-1973,1490
27-set-1973,1490
3-out-1973,1471
7-out-1973,1491
14-out-1973,1465
17-out-1973,1459
21-out-1973,1464
27-out-1973,1458
31-out-1973,1458
4-nov-1973,1457
7-nov-1973,1431
10-nov-1973,1457
14-nov-1973,1461
17-nov-1973,1457
25-nov-1973,1456
28-nov-1973,1483
2-dez-1973,1496
8-dez-1973,1464
12-dez-1973,1461
16-dez-1973,1476
13-jan-1974,1484
16-jan-1974,1462
19-jan-1974,1468
24-jan-1974,1457
26-jan-1974,1448
30-jan-1974,1467
2-fev-1974,1484
6-fev-1974,1474
10-fev-1974,1493
9-mar-1974,1488
14-mar-1974,1486
17-mar-1974,1473
21-mar-1974,1492
23-mar-1974,1500
27-mar-1974,1520
30-mar-1974,1517
3-abr-1974,1503
13-abr-1974,1504
20-abr-1974,1485
27-abr-1974,1473
4-mai-1974,1447
12-mai-1974,1426
18-mai-1974,1429
25-mai-1974,1435
2-jun-1974,1442
5-jun-1974,1416
8-jun-1974,1419
12-jun-1974,1428
24-ago-1975,1421
28-ago-1975,1430
3-set-1975,1435
10-set-1975,1430
14-set-1975,1462
17-set-1975,1443
21-set-1975,1446
24-set-1975,1466
28-set-1975,1468
1-out-1975,1465
5-out-1975,1478
9-out-1975,1487
12-out-1975,1507
15-out-1975,1522
19-out-1975,1523
23-out-1975,1550
26-out-1975,1568
30-out-1975,1554
1-nov-1975,1551
5-nov-1975,1551
8-nov-1975,1577
12-nov-1975,1598
16-nov-1975,1614
20-nov-1975,1612
23-nov-1975,1630
26-nov-1975,1616
30-nov-1975,1636
4-dez-1975,1659
7-dez-1975,1648
29-ago-1976,1639
1-set-1976,1648
4-set-1976,1628
7-set-1976,1644
15-set-1976,1637
19-set-1976,1645
22-set-1976,1660
29-set-1976,1668
9-out-1976,1636
13-out-1976,1636
