date,rating
29-jan-1984,1515
1-fev-1984,1537
8-fev-1984,1559
12-fev-1984,1547
15-fev-1984,1554
19-fev-1984,1550
26-fev-1984,1570
29-fev-1984,1588
11-mar-1984,1578
14-mar-1984,1564
18-mar-1984,1578
21-mar-1984,1579
25-mar-1984,1592
1-abr-1984,1620
7-abr-1984,1608
11-abr-1984,1610
15-abr-1984,1612
18-abr-1984,1613
22-abr-1984,1600
25-abr-1984,1605
10-mai-2009,1607
16-mai-2009,1631
24-mai-2009,1619
30-mai-2009,1621
4-jun-2009,1625
13-jun-2009,1633
20-jun-2009,1649
28-jun-2009,1624
4-jul-2009,1623
12-jul-2009,1640
15-jul-2009,1654
18-jul-2009,1643
22-jul-2009,1619
25-jul-2009,1609
29-jul-2009,1611
2-ago-2009,1602
5-ago-2009,1586
8-ago-2009,1570
15-ago-2009,1557
19-ago-2009,1575
22-ago-2009,1591
29-ago-2009,1569
6-set-2009,1557
13-set-2009,1547
20-set-2009,1557
27-set-2009,1541
3-out-2009,1562
7-out-2009,1564
10-out-2009,1548
18-out-2009,1529
21-out-2009,1563
28-out-2009,1555
1-nov-2009,1588
8-nov-2009,1569
15-nov-2009,1547
22-nov-2009,1578
29-nov-2009,1601
6-dez-2009,1583
