date,rating
7-ago-1971,1500
11-ago-1971,1523
14-ago-1971,1542
18-ago-1971,1540
22-ago-1971,1538
1-set-1971,1524
5-set-1971,1510
9-set-1971,1534
12-set-1971,1517
18-set-1971,1515
26-set-1971,1515
3-out-1971,1531
10-out-1971,1526
16-out-1971,1542
24-out-1971,1563
27-out-1971,1545
30-out-1971,1546
7-nov-1971,1558
13-nov-1971,1530
20-nov-1971,1531
25-nov-1971,1548
28-nov-1971,1546
1-dez-1971,1525
5-dez-1971,1511
9-dez-1971,1537
9-set-1972,1536
13-set-1972,1548
17-set-1972,1530
20-set-1972,1529
24-set-1972,1515
28-set-1972,1531
1-out-1972,1548
4-out-1972,1545
8-out-1972,1546
11-out-1972,1527
14-out-1972,1543
19-out-1972,1566
22-out-1972,1563
25-out-1972,1581
29-out-1972,1599
1-nov-1972,1592
5-nov-1972,1588
8-nov-1972,1583
12-nov-1972,1551
16-nov-1972,1567
19-nov-1972,1583
23-nov-1972,1578
26-nov-1972,1607
29-nov-1972,1618
3-dez-1972,1597
9-dez-1972,1611
14-dez-1972,1593
17-dez-1972,1575
29-ago-1973,1546
2-set-1973,1551
5-set-1973,1552
9-set-1973,1564
12-set-1973,1545
16-set-1973,1564
19-set-1973,1565
23-set-1973,1535
26-set-1973,1566
30-set-1973,1586
3-out-1973,1594
7-out-1973,1574
14-out-1973,1573
17-out-1973,1572
21-out-1973,1551
24-out-1973,1569
27-out-1973,1568
31-out-1973,1577
4-nov-1973,1589
11-nov-1973,1600
14-nov-1973,1599
18-nov-1973,1613
24-nov-1973,1597
28-nov-1973,1623
1-dez-1973,1617
8-dez-1973,1620
12-dez-1973,1651
17-dez-1973,1665
13-jan-1974,1658
17-jan-1974,1642
20-jan-1974,1663
23-jan-1974,1681
27-jan-1974,1664
31-jan-1974,1674
3-fev-1974,1691
6-fev-1974,1685
10-fev-1974,1683
10-mar-1974,1660
17-mar-1974,1676
20-mar-1974,1685
24-mar-1974,1680
30-mar-1974,1671
6-abr-1974,1662
13-abr-1974,1676
20-abr-1974,1707
28-abr-1974,1712
2-mai-1974,1723
11-mai-1974,1699
15-mai-1974,1712
18-mai-1974,1706
22-mai-1974,1710
25-mai-1974,1700
2-jun-1974,1699
5-jun-1974,1676
9-jun-1974,1659
12-jun-1974,1650
29-jun-1974,1662
3-jul-1974,1678
7-jul-1974,1695
15-jul-1974,1709
18-jul-1974,1703
21-jul-1974,1685
24-jul-1974,1698
28-jul-1974,1676
20-ago-1975,1669
24-ago-1975,1648
27-ago-1975,1653
30-ago-1975,1620
6-set-1975,1630
14-set-1975,1618
17-set-1975,1589
20-set-1975,1592
28-set-1975,1581
1-out-1975,1553
4-out-1975,1547
19-out-1975,1556
22-out-1975,1567
26-out-1975,1587
29-out-1975,1585
1-nov-1975,1595
1-set-1976,1606
4-set-1976,1623
7-set-1976,1639
12-set-1976,1637
15-set-1976,1627
19-set-1976,1636
26-set-1976,1622
3-out-1976,1612
10-out-1976,1625
13-out-1976,1637
16-out-1976,1637
20-out-1976,1615
24-out-1976,1618
16-out-1977,1602
19-out-1977,1616
23-out-1977,1596
26-out-1977,1612
30-out-1977,1628
6-nov-1977,1611
9-nov-1977,1603
13-nov-1977,1615
27-nov-1977,1579
1-dez-1977,1594
7-dez-1977,1581
11-dez-1977,1587
14-dez-1977,1585
29-jan-1978,1592
1-fev-1978,1579
11-fev-1978,1561
15-fev-1978,1567
18-fev-1978,1565
25-mar-1978,1588
29-mar-1978,1585
2-abr-1978,1598
5-abr-1978,1578
8-abr-1978,1583
20-abr-1978,1570
23-abr-1978,1562
26-abr-1978,1558
7-mai-1978,1572
10-mai-1978,1553
14-mai-1978,1548
21-mai-1978,1536
24-mai-1978,1539
28-mai-1978,1519
31-mai-1978,1528
4-jun-1978,1509
7-jun-1978,1526
10-jun-1978,1554
17-jun-1978,1560
2-jul-1978,1587
5-jul-1978,1573
8-jul-1978,1561
13-jul-1978,1563
16-jul-1978,1556
19-jul-1978,1588
23-jul-1978,1582
24-fev-1980,1573
27-fev-1980,1569
2-mar-1980,1581
5-mar-1980,1599
9-mar-1980,1613
16-mar-1980,1634
23-mar-1980,1647
27-mar-1980,1668
30-mar-1980,1674
5-abr-1980,1699
13-abr-1980,1679
20-abr-1980,1650
23-abr-1980,1671
27-abr-1980,1689
4-mai-1980,1687
10-mai-1980,1711
15-mai-1980,1704
18-mai-1980,1686
18-jan-1981,1690
21-jan-1981,1702
25-jan-1981,1700
28-jan-1981,1708
31-jan-1981,1706
4-fev-1981,1710
7-fev-1981,1716
14-fev-1981,1722
21-fev-1981,1727
7-mar-1981,1717
12-mar-1981,1730
15-mar-1981,1711
21-mar-1981,1719
28-mar-1981,1712
3-abr-1981,1711
17-jan-1982,1730
20-jan-1982,1735
24-jan-1982,1724
28-jan-1982,1713
3-fev-1982,1720
7-fev-1982,1728
14-fev-1982,1709
17-fev-1982,1682
28-fev-1982,1692
7-mar-1982,1704
11-mar-1982,1676
14-mar-1982,1666
17-mar-1982,1680
25-mar-1982,1690
23-jan-1983,1674
26-jan-1983,1679
30-jan-1983,1683
3-fev-1983,1687
9-fev-1983,1693
19-fev-1983,1701
27-fev-1983,1720
6-mar-1983,1707
13-mar-1983,1722
16-mar-1983,1724
19-mar-1983,1718
26-mar-1983,1720
30-mar-1983,1740
3-abr-1983,1731
10-abr-1983,1726
13-abr-1983,1743
17-abr-1983,1758
20-abr-1983,1756
23-abr-1983,1732
30-abr-1983,1743
29-jan-1984,1738
2-fev-1984,1741
5-fev-1984,1748
9-fev-1984,1753
15-fev-1984,1761
23-fev-1984,1765
26-fev-1984,1775
29-fev-1984,1778
11-mar-1984,1766
14-mar-1984,1756
17-mar-1984,1754
21-mar-1984,1762
25-mar-1984,1744
30-mar-1984,1753
9-abr-1984,1769
12-abr-1984,1763
15-abr-1984,1749
18-abr-1984,1729
22-abr-1984,1732
25-abr-1984,1742
26-jan-1985,1729
30-jan-1985,1701
3-fev-1985,1716
7-fev-1985,1720
10-fev-1985,1703
14-fev-1985,1699
24-fev-1985,1678
27-fev-1985,1694
3-mar-1985,1710
6-mar-1985,1720
10-mar-1985,1721
14-mar-1985,1749
20-mar-1985,1722
24-mar-1985,1722
27-mar-1985,1702
31-mar-1985,1716
3-abr-1985,1715
6-abr-1985,1723
10-abr-1985,1721
14-abr-1985,1701
2-set-1986,1713
7-set-1986,1702
11-set-1986,1700
14-set-1986,1674
17-set-1986,1683
21-set-1986,1670
25-set-1986,1683
27-set-1986,1705
2-out-1986,1713
5-out-1986,1719
12-out-1986,1693
15-out-1986,1704
19-out-1986,1687
24-out-1986,1685
29-out-1986,1670
1-nov-1986,1693
13-nov-1986,1689
16-nov-1986,1699
23-nov-1986,1703
26-nov-1986,1700
29-nov-1986,1694
7-dez-1986,1696
10-dez-1986,1687
14-dez-1986,1685
25-jan-1987,1667
28-jan-1987,1664
13-set-1987,1644
20-set-1987,1648
24-set-1987,1649
27-set-1987,1650
3-out-1987,1666
7-out-1987,1663
10-out-1987,1633
17-out-1987,1619
24-out-1987,1603
28-out-1987,1617
1-nov-1987,1615
6-nov-1987,1617
11-nov-1987,1599
14-nov-1987,1605
22-nov-1987,1597
2-set-1988,1589
3-set-1988,1593
7-set-1988,1596
11-set-1988,1600
17-set-1988,1628
25-set-1988,1614
8-out-1988,1615
16-out-1988,1606
23-out-1988,1589
29-out-1988,1582
6-nov-1988,1620
9-nov-1988,1642
12-nov-1988,1646
16-nov-1988,1657
19-nov-1988,1636
23-nov-1988,1652
26-nov-1988,1629
1-dez-1988,1611
4-dez-1988,1630
7-dez-1988,1608
10-dez-1988,1605
14-dez-1988,1623
18-dez-1988,1624
7-set-1989,1626
9-set-1989,1615
17-set-1989,1608
20-set-1989,1610
24-set-1989,1614
27-set-1989,1642
30-set-1989,1621
8-out-1989,1626
14-out-1989,1631
22-out-1989,1647
29-out-1989,1650
5-nov-1989,1667
11-nov-1989,1645
18-nov-1989,1635
26-nov-1989,1656
29-nov-1989,1669
3-dez-1989,1657
10-dez-1989,1645
18-ago-1990,1627
29-ago-1990,1648
2-set-1990,1652
8-set-1990,1673
15-set-1990,1645
19-set-1990,1648
23-set-1990,1647
26-set-1990,1654
1-out-1990,1656
7-out-1990,1686
11-out-1990,1700
14-out-1990,1705
20-out-1990,1720
24-out-1990,1702
27-out-1990,1699
4-nov-1990,1685
10-nov-1990,1707
15-nov-1990,1723
18-nov-1990,1724
2-fev-1991,1725
6-fev-1991,1695
17-fev-1991,1713
25-fev-1991,1726
6-mar-1991,1702
9-mar-1991,1686
14-mar-1991,1687
18-mar-1991,1704
23-mar-1991,1730
30-mar-1991,1728
3-abr-1991,1726
8-abr-1991,1752
14-abr-1991,1735
18-abr-1991,1747
24-abr-1991,1729
2-mai-1991,1731
6-mai-1991,1709
9-mai-1991,1732
19-mai-1991,1702
29-jan-1992,1706
2-fev-1992,1707
8-fev-1992,1691
17-fev-1992,1701
20-fev-1992,1707
23-fev-1992,1678
7-mar-1992,1704
11-mar-1992,1701
16-mar-1992,1722
22-mar-1992,1710
30-mar-1992,1744
6-abr-1992,1740
11-abr-1992,1738
20-abr-1992,1751
26-abr-1992,1730
2-mai-1992,1726
9-mai-1992,1709
25-mai-1992,1727
31-mai-1992,1730
7-jun-1992,1732
20-jun-1992,1749
27-jun-1992,1749
1-jul-1992,1734
5-jul-1992,1735
8-jul-1992,1714
7-set-1993,1730
11-set-1993,1730
18-set-1993,1704
22-set-1993,1688
26-set-1993,1714
29-set-1993,1728
2-out-1993,1728
