date,rating
26-ago-1973,1500
29-ago-1973,1503
2-set-1973,1516
5-set-1973,1537
9-set-1973,1540
12-set-1973,1538
16-set-1973,1554
22-set-1973,1549
26-set-1973,1542
30-set-1973,1524
3-out-1973,1541
7-out-1973,1523
14-out-1973,1511
17-out-1973,1491
21-out-1973,1490
24-out-1973,1477
27-out-1973,1465
4-nov-1973,1484
7-nov-1973,1498
11-nov-1973,1514
14-nov-1973,1512
18-nov-1973,1523
25-nov-1973,1523
28-nov-1973,1504
2-dez-1973,1516
8-dez-1973,1517
12-dez-1973,1531
16-dez-1973,1507
13-jan-1974,1531
16-jan-1974,1531
20-jan-1974,1514
23-jan-1974,1504
27-jan-1974,1484
30-jan-1974,1486
3-fev-1974,1474
6-fev-1974,1453
10-fev-1974,1460
10-mar-1974,1477
13-mar-1974,1460
17-mar-1974,1461
23-mar-1974,1439
27-mar-1974,1467
30-mar-1974,1456
6-abr-1974,1446
14-abr-1974,1477
20-abr-1974,1475
27-abr-1974,1457
4-mai-1974,1477
8-mai-1974,1474
11-mai-1974,1471
15-mai-1974,1461
18-mai-1974,1449
25-mai-1974,1454
2-jun-1974,1479
9-jun-1974,1498
13-jun-1974,1508
20-ago-1975,1507
24-ago-1975,1491
31-ago-1975,1508
3-set-1975,1511
7-set-1975,1523
10-set-1975,1505
21-set-1975,1494
24-set-1975,1479
1-out-1975,1500
5-out-1975,1522
9-out-1975,1528
12-out-1975,1502
15-out-1975,1492
19-out-1975,1471
22-out-1975,1475
26-out-1975,1467
29-out-1975,1489
1-nov-1975,1491
6-nov-1975,1479
9-nov-1975,1492
23-set-1979,1486
27-set-1979,1487
3-out-1979,1465
6-out-1979,1464
14-out-1979,1453
20-out-1979,1468
25-out-1979,1434
28-out-1979,1414
3-nov-1979,1398
23-jan-1983,1378
30-jan-1983,1404
2-fev-1983,1427
6-fev-1983,1426
9-fev-1983,1413
19-fev-1983,1400
27-fev-1983,1425
6-mar-1983,1443
13-mar-1983,1438
16-mar-1983,1440
19-mar-1983,1432
23-mar-1983,1426
26-mar-1983,1414
30-mar-1983,1406
