date,rating
29-ago-1976,1469
1-set-1976,1447
4-set-1976,1429
7-set-1976,1412
19-set-1976,1403
22-set-1976,1387
26-set-1976,1371
29-set-1976,1389
10-out-1976,1375
13-out-1976,1390
17-out-1976,1410
20-out-1976,1385
19-out-1977,1389
23-out-1977,1399
26-out-1977,1403
30-out-1977,1388
6-nov-1977,1392
13-nov-1977,1369
16-nov-1977,1359
23-nov-1977,1346
27-nov-1977,1366
4-dez-1977,1345
7-dez-1977,1347
11-dez-1977,1364
15-dez-1977,1342
22-set-1979,1329
25-set-1979,1321
6-out-1979,1343
13-out-1979,1329
17-out-1979,1353
21-out-1979,1387
25-out-1979,1388
28-out-1979,1415
4-nov-1979,1400
16-jan-1982,1393
20-jan-1982,1400
24-jan-1982,1423
28-jan-1982,1416
3-fev-1982,1409
7-fev-1982,1404
14-fev-1982,1426
17-fev-1982,1431
28-fev-1982,1421
7-mar-1982,1424
11-mar-1982,1410
14-mar-1982,1394
17-mar-1982,1381
24-mar-1982,1417
26-jan-1983,1412
29-jan-1983,1395
2-fev-1983,1379
5-fev-1983,1363
9-fev-1983,1350
19-fev-1983,1340
23-fev-1983,1356
6-mar-1983,1352
29-jan-1984,1347
2-fev-1984,1357
5-fev-1984,1352
12-fev-1984,1342
19-fev-1984,1337
22-fev-1984,1361
26-fev-1984,1381
29-fev-1984,1394
2-mar-1984,1412
11-mar-1984,1421
14-mar-1984,1414
18-mar-1984,1425
21-mar-1984,1418
24-mar-1984,1428
1-abr-1984,1422
12-out-1986,1448
15-out-1986,1436
19-out-1986,1461
22-out-1986,1484
24-out-1986,1468
29-out-1986,1473
2-nov-1986,1462
12-nov-1986,1489
23-nov-1986,1476
26-nov-1986,1460
3-dez-1986,1452
7-dez-1986,1444
10-dez-1986,1454
13-dez-1986,1461
25-jan-1987,1453
28-jan-1987,1460
13-set-1987,1467
16-set-1987,1462
20-set-1987,1454
23-set-1987,1460
27-set-1987,1480
30-set-1987,1509
11-out-1987,1494
13-out-1987,1485
28-out-1987,1511
1-nov-1987,1514
4-nov-1987,1521
8-nov-1987,1536
15-nov-1987,1527
18-nov-1987,1511
