date,rating
1-set-1976,1502
7-set-1976,1487
12-set-1976,1505
18-set-1976,1484
23-set-1976,1470
26-set-1976,1479
29-set-1976,1465
3-out-1976,1465
9-out-1976,1453
13-out-1976,1470
16-out-1976,1464
20-out-1976,1480
16-out-1977,1499
20-out-1977,1474
23-out-1977,1457
27-out-1977,1459
30-out-1977,1448
2-nov-1977,1458
16-nov-1977,1472
20-nov-1977,1483
27-nov-1977,1518
4-dez-1977,1533
10-dez-1977,1513
14-dez-1977,1509
18-dez-1977,1521
26-mar-1978,1537
29-mar-1978,1537
2-abr-1978,1520
5-abr-1978,1518
8-abr-1978,1493
13-abr-1978,1490
16-abr-1978,1483
23-abr-1978,1476
26-abr-1978,1466
4-mai-1978,1439
6-mai-1978,1427
11-mai-1978,1439
21-mai-1978,1437
27-mai-1978,1437
4-jun-1978,1433
13-jun-1978,1428
17-jun-1978,1414
24-jun-1978,1429
27-set-1979,1449
30-set-1979,1460
4-out-1979,1477
6-out-1979,1494
14-out-1979,1517
17-out-1979,1482
21-out-1979,1469
28-out-1979,1489
4-nov-1979,1502
7-nov-1979,1485
11-nov-1979,1501
15-nov-1979,1501
18-nov-1979,1485
21-nov-1979,1495
25-nov-1979,1514
28-nov-1979,1528
7-mar-1981,1531
11-mar-1981,1540
15-mar-1981,1547
21-mar-1981,1551
1-abr-1981,1539
4-abr-1981,1527
13-mar-1983,1517
16-mar-1983,1507
19-mar-1983,1506
26-mar-1983,1497
30-mar-1983,1523
2-abr-1983,1514
