date,rating
26-mar-1978,1477
29-mar-1978,1473
2-abr-1978,1491
6-abr-1978,1471
12-abr-1978,1467
20-abr-1978,1480
23-abr-1978,1483
27-abr-1978,1473
1-mai-1978,1438
3-mai-1978,1416
7-mai-1978,1401
10-mai-1978,1388
21-mai-1978,1390
24-mai-1978,1417
27-mai-1978,1399
4-jun-1978,1399
17-jun-1978,1386
20-jun-1978,1383
23-set-1979,1388
26-set-1979,1392
30-set-1979,1384
6-out-1979,1367
11-out-1979,1386
14-out-1979,1399
25-out-1979,1432
28-out-1979,1415
1-nov-1979,1436
11-nov-1979,1411
15-nov-1979,1431
18-nov-1979,1451
21-nov-1979,1467
23-nov-1979,1489
25-nov-1979,1495
29-nov-1979,1497
4-dez-1979,1484
6-dez-1979,1476
8-dez-1979,1493
7-abr-1984,1502
11-abr-1984,1516
15-abr-1984,1504
18-abr-1984,1523
22-abr-1984,1527
25-abr-1984,1521
27-jan-1985,1520
30-jan-1985,1500
3-fev-1985,1484
6-fev-1985,1475
10-fev-1985,1470
13-fev-1985,1493
24-fev-1985,1513
27-fev-1985,1490
3-mar-1985,1487
6-mar-1985,1466
10-mar-1985,1474
17-mar-1985,1459
20-mar-1985,1450
24-mar-1985,1435
27-mar-1985,1422
31-mar-1985,1407
3-abr-1985,1432
7-abr-1985,1416
10-abr-1985,1448
14-abr-1985,1479
17-abr-1985,1497
21-abr-1985,1504
