date,rating
7-ago-1971,1500
12-ago-1971,1483
15-ago-1971,1499
22-ago-1971,1470
29-ago-1971,1493
1-set-1971,1493
4-set-1971,1496
7-set-1971,1512
11-set-1971,1499
18-set-1971,1497
26-set-1971,1509
3-out-1971,1509
6-out-1971,1525
10-out-1971,1512
17-out-1971,1512
24-out-1971,1492
31-out-1971,1507
6-nov-1971,1509
14-nov-1971,1493
21-nov-1971,1481
25-nov-1971,1508
28-nov-1971,1510
1-dez-1971,1483
4-dez-1971,1488
9-dez-1971,1462
10-set-1972,1482
13-set-1972,1483
17-set-1972,1506
20-set-1972,1534
23-set-1972,1520
28-set-1972,1493
1-out-1972,1506
4-out-1972,1502
8-out-1972,1487
11-out-1972,1504
15-out-1972,1503
19-out-1972,1499
22-out-1972,1502
25-out-1972,1522
28-out-1972,1526
2-nov-1972,1543
5-nov-1972,1555
9-nov-1972,1525
12-nov-1972,1528
16-nov-1972,1516
18-nov-1972,1533
22-nov-1972,1532
26-nov-1972,1531
29-nov-1972,1524
2-dez-1972,1538
10-dez-1972,1536
14-dez-1972,1562
17-dez-1972,1566
29-ago-1973,1576
2-set-1973,1573
5-set-1973,1586
8-set-1973,1580
12-set-1973,1578
16-set-1973,1558
19-set-1973,1540
23-set-1973,1536
27-set-1973,1549
30-set-1973,1547
3-out-1973,1566
7-out-1973,1552
14-out-1973,1553
17-out-1973,1550
21-out-1973,1562
24-out-1973,1568
27-out-1973,1548
31-out-1973,1534
4-nov-1973,1556
10-nov-1973,1554
14-nov-1973,1552
18-nov-1973,1534
25-nov-1973,1506
28-nov-1973,1533
2-dez-1973,1530
8-dez-1973,1544
12-dez-1973,1555
16-dez-1973,1569
13-jan-1974,1555
17-jan-1974,1543
20-jan-1974,1544
24-jan-1974,1544
27-jan-1974,1564
30-jan-1974,1564
3-fev-1974,1578
6-fev-1974,1592
10-fev-1974,1584
9-mar-1974,1607
13-mar-1974,1601
17-mar-1974,1599
20-mar-1974,1609
23-mar-1974,1600
30-mar-1974,1598
3-abr-1974,1594
13-abr-1974,1591
21-abr-1974,1569
27-abr-1974,1579
4-mai-1974,1597
8-mai-1974,1591
15-mai-1974,1601
18-mai-1974,1569
26-mai-1974,1552
29-mai-1974,1561
2-jun-1974,1552
9-jun-1974,1552
13-jun-1974,1580
29-jun-1974,1605
3-jul-1974,1598
10-jul-1974,1624
14-jul-1974,1643
18-jul-1974,1642
21-jul-1974,1660
24-jul-1974,1661
28-jul-1974,1660
24-ago-1975,1676
28-ago-1975,1667
31-ago-1975,1663
3-set-1975,1666
7-set-1975,1685
14-set-1975,1697
17-set-1975,1672
20-set-1975,1669
24-set-1975,1675
27-set-1975,1651
2-out-1975,1662
9-out-1975,1656
12-out-1975,1652
15-out-1975,1649
19-out-1975,1643
22-out-1975,1663
26-out-1975,1629
29-out-1975,1599
1-nov-1975,1582
5-nov-1975,1569
9-nov-1975,1556
1-set-1976,1569
4-set-1976,1583
8-set-1976,1590
12-set-1976,1604
15-set-1976,1584
19-set-1976,1564
26-set-1976,1542
29-set-1976,1526
14-out-1976,1523
17-out-1976,1537
21-out-1976,1546
24-out-1976,1561
30-out-1976,1569
3-nov-1976,1567
6-nov-1976,1554
14-nov-1976,1539
17-nov-1976,1570
21-nov-1976,1591
25-nov-1976,1570
28-nov-1976,1588
16-out-1977,1581
23-out-1977,1601
30-out-1977,1620
2-nov-1977,1633
6-nov-1977,1645
13-nov-1977,1644
17-nov-1977,1623
20-nov-1977,1616
27-nov-1977,1611
4-dez-1977,1623
11-dez-1977,1626
15-dez-1977,1635
18-dez-1977,1631
29-jan-1978,1635
1-fev-1978,1649
12-fev-1978,1653
15-fev-1978,1671
19-fev-1978,1642
26-mar-1978,1662
30-mar-1978,1671
9-abr-1978,1692
12-abr-1978,1704
16-abr-1978,1702
20-abr-1978,1707
23-abr-1978,1708
30-abr-1978,1714
7-mai-1978,1705
11-mai-1978,1710
14-mai-1978,1720
21-mai-1978,1731
28-mai-1978,1743
30-mai-1978,1758
4-jun-1978,1742
8-jun-1978,1737
10-jun-1978,1761
17-jun-1978,1767
24-jun-1978,1763
2-jul-1978,1762
5-jul-1978,1770
9-jul-1978,1777
13-jul-1978,1789
16-jul-1978,1805
19-jul-1978,1799
23-jul-1978,1788
8-nov-1979,1797
10-nov-1979,1805
15-nov-1979,1809
18-nov-1979,1817
21-nov-1979,1805
