date,rating
16-out-1977,1493
20-out-1977,1504
23-out-1977,1503
26-out-1977,1498
30-out-1977,1506
2-nov-1977,1511
6-nov-1977,1509
10-nov-1977,1514
20-nov-1977,1532
1-dez-1977,1513
4-dez-1977,1541
7-dez-1977,1564
14-dez-1977,1548
28-jan-1978,1534
1-fev-1978,1524
12-fev-1978,1508
15-fev-1978,1498
19-fev-1978,1503
29-mar-1978,1485
2-abr-1978,1469
6-abr-1978,1475
9-abr-1978,1459
16-abr-1978,1462
19-abr-1978,1462
22-abr-1978,1450
26-abr-1978,1434
30-abr-1978,1448
7-mai-1978,1443
14-mai-1978,1443
21-mai-1978,1457
28-mai-1978,1482
4-jun-1978,1466
13-jun-1978,1458
17-jun-1978,1436
8-nov-1979,1425
11-nov-1979,1470
15-nov-1979,1457
18-nov-1979,1478
21-nov-1979,1508
25-nov-1979,1527
28-nov-1979,1549
2-dez-1979,1536
6-dez-1979,1512
8-dez-1979,1502
